Coords	Name	MIRNA	nvec_1_S25_L001_R1_001_trim_condensed	nvec_2_S26_L001_R1_001_trim_condensed	nvec_3_S34_L001_R1_001_trim_condensed	nvec_4_S35_L001_R1_001_trim_condensed
chr2:17821248-17821663	Cluster_476	N	0	0	0	45
chr2:17831875-17832291	Cluster_477	N	73	29	10	66
chr2:17836614-17837030	Cluster_478	N	3	79	0	0
chr2:18026975-18027390	Cluster_479	N	0	0	0	55
chr2:18169597-18170012	Cluster_480	N	0	0	0	92
chr2:18286679-18287095	Cluster_481	N	0	1	536	16
chr2:18332261-18332710	Cluster_482	N	1	0	116	823
chr2:18350498-18350914	Cluster_483	N	6	54	0	1
chr2:18364816-18365230	Cluster_484	N	3	1	14	44
chr2:18441106-18441523	Cluster_485	N	82	5	38	1
chr2:18564368-18564802	Cluster_486	N	36	23	201	54
chr2:18703274-18703690	Cluster_487	N	0	1	18	83
chr2:18719013-18719429	Cluster_488	N	8	33	11	4
chr2:18787143-18787558	Cluster_489	N	0	0	30	16
chr2:18858575-18858991	Cluster_490	N	1	0	0	32
chr2:18956026-18956446	Cluster_491	N	31	286	91	21
chr2:18989711-18990127	Cluster_492	N	52	22	18	7
chr2:19149502-19149981	Cluster_493	N	41	29	57	59
chr2:19150519-19150948	Cluster_494	N	49	18	33	15
chr2:19276060-19276476	Cluster_495	N	0	0	0	343
chr2:19291497-19291912	Cluster_496	N	5	89	16	14
chr2:19362433-19362850	Cluster_497	N	33	4	0	5
chr2:19431042-19431464	Cluster_498	N	114	0	6	0
chr2:19473516-19473934	Cluster_499	N	14	17	3	37
chr2:19571561-19571979	Cluster_500	N	30	4	77	11
chr2:19585761-19586178	Cluster_501	N	26	2	93	10
chr2:19591036-19591458	Cluster_502	N	4	3	15	70
chr2:19712923-19713336	Cluster_503	N	1	17	7	12
chr2:20004902-20005314	Cluster_504	N	23	2	20	5
chr2:20007155-20007571	Cluster_505	N	42	9	18	1
chr2:20130198-20130612	Cluster_506	N	0	0	0	57
chr2:20241117-20241991	Cluster_507	N	10553	9646	10314	2481
chr2:20242149-20242563	Cluster_508	N	0	0	0	32
chr2:20243733-20244303	Cluster_509	N	34	1693	37	1555
chr2:20524131-20524545	Cluster_510	N	0	0	7	105
chr2:20808970-20809386	Cluster_511	N	10	23	25	153
chr2:20857476-20857893	Cluster_512	N	15	1	40	63
chr2:21022293-21022711	Cluster_513	N	24	562	26	54
chr2:21064094-21064509	Cluster_514	N	1	35	2	1
chr2:21081498-21081912	Cluster_515	N	1	0	0	30
chr2:21155520-21155935	Cluster_516	N	8	231	1	3
chr2:21236321-21236749	Cluster_517	N	1	0	103	0
chr2:21243769-21244175	Cluster_518	N	0	3	39	0
chr2:21272742-21273432	Cluster_519	N	1595	368	264	745
chr2:21274079-21280549	Cluster_520	N	7416	8965	36856	57908
chr2:21281195-21287664	Cluster_521	N	134965	51738	74025	52087
chr2:21288309-21293526	Cluster_522	N	89482	72425	104277	90037
chr2:21294042-21300665	Cluster_523	N	26035	16669	19084	27357
chr2:21301554-21308173	Cluster_524	N	22387	16801	18398	20411
chr2:21309051-21315672	Cluster_525	N	26120	19936	25202	22017
chr2:21316545-21323031	Cluster_526	N	34463	27851	32072	28958
chr2:21324061-21327088	Cluster_527	N	6664	9825	6469	13388
chr2:21358078-21358506	Cluster_528	N	0	1	106	7
chr3:87339-87774	Cluster_529	N	845	266	17	37
chr3:108913-109330	Cluster_530	N	1	5	14	26
chr3:209664-210080	Cluster_531	N	4	4	0	76
chr3:409460-409877	Cluster_532	N	7	30	15	29
chr3:626355-626870	Cluster_533	N	82	67	81	82
chr3:627743-628811	Cluster_534	N	502	175	385	364
chr3:1061087-1061503	Cluster_535	N	10	10	15	4
chr3:1195407-1195825	Cluster_536	N	13	0	35	7
chr3:1314699-1315598	Cluster_537	N	19	20	27	451
chr3:1316618-1317923	Cluster_538	N	96	58	28	838
chr3:1857714-1858132	Cluster_539	N	9	282	2	0
chr3:1912019-1912433	Cluster_540	N	0	1	1	30
chr3:2257518-2257934	Cluster_541	N	33	4	0	0
chr3:2355926-2356331	Cluster_542	N	9	4	14	11
chr3:2498361-2498777	Cluster_543	N	24	0	46	13
chr3:2537259-2537688	Cluster_544	N	6	21	41	154
chr3:2651396-2651814	Cluster_545	N	5	14	24	33
chr3:2751447-2751861	Cluster_546	N	4	24	0	4
chr3:2931083-2931500	Cluster_547	N	38	10	1	0
chr3:2941035-2941452	Cluster_548	N	8	32	41	47
chr3:2950042-2950458	Cluster_549	N	7	9	17	1
chr3:3095452-3095868	Cluster_550	N	33	4	0	7
chr3:3688920-3689336	Cluster_551	N	7	6	8	15
chr3:3699397-3699813	Cluster_552	N	17	90	13	15
chr3:3869228-3869644	Cluster_553	N	0	0	0	120
chr3:3946637-3947054	Cluster_554	N	29	5	2	0
chr3:4004058-4004476	Cluster_555	N	872	172	24	84
chr3:4041126-4041541	Cluster_556	N	1	10	19	21
chr3:4061994-4062409	Cluster_557	N	8	7	2	25
chr3:4093488-4093905	Cluster_558	N	8	44	0	0
chr3:4286890-4287305	Cluster_559	N	1	36	4	2
chr3:4311594-4312001	Cluster_560	N	7	3	10	17
chr3:4317147-4317600	Cluster_561	N	46	26	43	39
chr3:4370018-4370433	Cluster_562	N	65	7	2	6
chr3:4384363-4384779	Cluster_563	N	20	2	14	1
chr3:4434298-4434713	Cluster_564	N	16	23	18	11
chr3:4613532-4613949	Cluster_565	N	100	42	0	25
chr3:4896940-4897596	Cluster_566	N	26	9	24	146
chr3:4963944-4964359	Cluster_567	N	0	0	6	77
chr3:4971419-4971836	Cluster_568	N	390	1634	1447	414
chr3:4992603-4993017	Cluster_569	N	0	0	1	74
chr3:5098337-5098753	Cluster_570	N	29	223	4	4
chr3:5198485-5198902	Cluster_571	N	60	5	14	3
chr3:5260046-5260463	Cluster_572	N	19	145	182	12
chr3:5278122-5278538	Cluster_573	N	0	0	0	55
chr3:5377088-5377504	Cluster_574	N	10	11	0	479
chr3:5446921-5447338	Cluster_575	N	26	10	5	145
chr3:5449175-5449590	Cluster_576	N	7	36	5	2
chr3:5465299-5465717	Cluster_577	N	88	4	1	9
chr3:5484393-5484811	Cluster_578	N	9	76	14	21
chr3:5496694-5497109	Cluster_579	N	2	39	8	6
chr3:5562457-5562876	Cluster_580	N	328	4	1500	7
chr3:5596365-5596822	Cluster_581	N	58	12	33	25
chr3:6018218-6018632	Cluster_582	N	3	0	10	30
chr3:6066455-6066875	Cluster_583	N	11	10	29	28
chr3:6121074-6121490	Cluster_584	N	15	268	0	0
chr3:6167002-6167418	Cluster_585	N	13	269	0	1
chr3:6182673-6183088	Cluster_586	N	0	1	1	46
chr3:6223999-6224415	Cluster_587	N	31	20	4	0
chr3:6827478-6827892	Cluster_588	N	0	0	0	66
chr3:6840471-6840886	Cluster_589	N	5	21	10	4
chr3:6854930-6855347	Cluster_590	N	8	72	49	20
chr3:7414376-7414798	Cluster_591	N	154	211	202	84
chr3:7431462-7431877	Cluster_592	N	1	27	0	2
chr3:7626423-7626897	Cluster_593	N	80	59	59	51
chr3:7677009-7677425	Cluster_594	N	28	13	0	0
chr3:7798129-7798545	Cluster_595	N	0	0	0	111
chr3:7825868-7826284	Cluster_596	N	2	18	7	3
chr3:7884329-7884743	Cluster_597	N	24	1	7	4
chr3:7991937-7992351	Cluster_598	N	1	0	0	58
chr3:7998388-7998802	Cluster_599	N	0	0	0	54
chr3:8000474-8000891	Cluster_600	N	0	0	52	10
chr3:8079578-8079993	Cluster_601	N	6	19	1	6
chr3:8246530-8246995	Cluster_602	N	53	22	39	30
chr3:8412803-8413218	Cluster_603	N	21	4	15	4
chr3:8632862-8633277	Cluster_604	N	21	9	7	2
chr3:8681707-8682121	Cluster_605	N	26	2	0	0
chr3:8685968-8686386	Cluster_606	N	28	5	49	12
chr3:8764565-8764981	Cluster_607	N	1	0	74	0
chr3:9079112-9079527	Cluster_608	N	0	3	0	229
chr3:9143687-9144102	Cluster_609	N	2	35	1	1
chr3:9172463-9172879	Cluster_610	N	0	0	1	250
chr3:9502872-9503286	Cluster_611	N	1	0	2	87
chr3:9725744-9726371	Cluster_612	N	149	38	51	59
chr3:9817581-9817995	Cluster_613	N	1	1	19	9
chr3:9824523-9824939	Cluster_614	N	0	235	1	3
chr3:9863552-9863968	Cluster_615	N	84	7	85	14
chr3:9877929-9878365	Cluster_616	N	91	39	151	111
chr3:10019988-10020404	Cluster_617	N	1	25	21	19
chr3:10092080-10092496	Cluster_618	N	13	24	3	0
chr3:10108705-10109121	Cluster_619	N	138	37	0	4
chr3:10189574-10189991	Cluster_620	N	0	17	30	5
chr3:10217727-10218142	Cluster_621	N	3	32	1	0
chr3:10244400-10245183	Cluster_622	N	768	1091	932	1695
chr3:10250848-10251277	Cluster_623	N	155	2	21	885
chr3:10283885-10284303	Cluster_624	N	0	0	2	69
chr3:10373044-10373457	Cluster_625	N	0	0	28	2
chr3:10390962-10391431	Cluster_626	N	823	74	1134	811
chr3:10636799-10637214	Cluster_627	N	2	76	0	0
chr3:10653845-10654317	Cluster_628	N	2235	3734	100	133
chr3:10657024-10657440	Cluster_629	N	0	0	1	50
chr3:10736585-10737000	Cluster_630	N	15	1	0	83
chr3:10961733-10962149	Cluster_631	N	1	13	29	14
chr3:10968363-10968780	Cluster_632	N	7	14	12	23
chr3:10974732-10975146	Cluster_633	N	0	5	31	4
chr3:11147304-11147720	Cluster_634	N	11	49	0	0
chr3:11452725-11453140	Cluster_635	N	13	5	12	0
chr3:11483529-11483944	Cluster_636	N	2	39	0	0
chr3:11541736-11542151	Cluster_637	N	0	11	7	89
chr3:11567400-11567814	Cluster_638	N	0	0	0	49
chr3:11614923-11615339	Cluster_639	N	19	85	0	0
chr3:11749640-11750056	Cluster_640	N	11	34	7	3
chr3:11887040-11887460	Cluster_641	N	22	60	1	2
chr3:11920518-11920933	Cluster_642	N	5	21	3	7
chr3:11921645-11922061	Cluster_643	N	6	32	9	24
chr3:11969919-11970336	Cluster_644	N	3	34	8	0
chr3:11989448-11989864	Cluster_645	N	2	12	16	29
chr3:12119667-12120087	Cluster_646	N	1	0	0	309
chr3:12214230-12214644	Cluster_647	N	28	2	2	3
chr3:12216991-12217409	Cluster_648	N	23	32	67	29
chr3:12395879-12396294	Cluster_649	N	1	6	7	18
chr3:12478872-12479289	Cluster_650	N	541	58	1018	155
chr3:12632402-12632820	Cluster_651	N	18	83	52	23
chr3:12691386-12691803	Cluster_652	N	12	151	12	2
chr3:12728132-12728546	Cluster_653	N	0	1	3	31
chr3:12871729-12872573	Cluster_654	N	26	26	71	78
chr3:13235522-13235936	Cluster_655	N	0	0	2	38
chr3:13350086-13350500	Cluster_656	N	0	1	2	45
chr3:13396554-13397028	Cluster_657	N	262	164	6	22
chr3:13520122-13520532	Cluster_658	N	0	11	14	7
chr3:13553177-13553591	Cluster_659	N	1	0	0	67
chr3:13576136-13576553	Cluster_660	N	9	18	44	35
chr3:13598305-13598721	Cluster_661	N	27	16	0	0
chr3:13778452-13778870	Cluster_662	N	55	29	0	20
chr3:14008077-14008497	Cluster_663	N	3	7	89	82
chr3:14276848-14277264	Cluster_664	N	0	0	0	53
chr3:14283047-14283463	Cluster_665	N	29	19	3	4
chr3:14474612-14475026	Cluster_666	N	2	24	3	2
chr3:14728103-14728655	Cluster_667	N	6	113	33	118
chr3:15033358-15033772	Cluster_668	N	0	0	0	105
chr3:15229382-15229800	Cluster_669	N	74	41	12	1184
chr3:15271971-15272386	Cluster_670	N	12	10	3	43
chr3:15305648-15306067	Cluster_671	N	14	105	11	23
chr3:15316855-15317269	Cluster_672	N	1	0	0	46
chr3:15347156-15347570	Cluster_673	N	4	29	2	10
chr3:15382106-15382663	Cluster_674	N	55	39	65	31
chr3:15382734-15383158	Cluster_675	N	20	8	26	29
chr3:15384947-15385353	Cluster_676	N	0	0	0	29
chr3:15515331-15515747	Cluster_677	N	1	71	1	0
chr3:15684383-15684822	Cluster_678	N	28	10	27	21
chr3:15715080-15715496	Cluster_679	N	28	272	27	1
chr3:15939976-15940495	Cluster_680	N	1048	1217	389	245
chr3:15961019-15961434	Cluster_681	N	3	25	4	1
chr3:16313393-16313808	Cluster_682	N	24	11	16	2
chr3:16315795-16316224	Cluster_683	N	37	8	32	24
chr3:16318446-16318875	Cluster_684	N	42	7	35	25
chr3:16321096-16321525	Cluster_685	N	38	6	35	29
chr3:16549440-16549857	Cluster_686	N	165	36	9	36
chr3:16633412-16633827	Cluster_687	N	1	2	24	24
chr3:16665971-16666386	Cluster_688	N	2	47	8	1
chr3:16823050-16823461	Cluster_689	N	0	1	3	27
chr3:16856578-16856994	Cluster_690	N	74	283	0	0
chr3:17061179-17061594	Cluster_691	N	0	0	1	46
chr3:17067419-17067834	Cluster_692	N	2	1	0	48
chr3:17139923-17140341	Cluster_693	N	60	13	0	0
chr3:17506294-17506705	Cluster_694	N	16	7	6	10
chr3:17539817-17540231	Cluster_695	N	1	0	0	42
chr3:17603945-17604361	Cluster_696	N	28	7	15	54
chr3:17658915-17659330	Cluster_697	N	0	0	44	25
chr3:17944566-17944982	Cluster_698	N	0	37	1	0
chr3:17945298-17945715	Cluster_699	N	6	129	1	2
chr3:17972867-17973978	Cluster_700	N	98	400	110	198
chr3:18036147-18037283	Cluster_701	N	1322	3135	3744	4196
chr3:18220244-18220659	Cluster_702	N	0	0	143	1
chr3:18384081-18384497	Cluster_703	N	3	37	0	3
chr3:18433437-18433852	Cluster_704	N	22	10	3	0
chr3:18461113-18461529	Cluster_705	N	0	1	48	16
chr3:18509474-18509891	Cluster_706	N	7	41	3	2
chr3:18528031-18528724	Cluster_707	N	60	40	40	53
chr3:18555452-18555870	Cluster_708	N	2	32	32	6
chr3:18624012-18624427	Cluster_709	N	1	3	6	41
chr3:18681033-18681450	Cluster_710	N	13	24	4	34
chr3:18682983-18683607	Cluster_711	N	445	374	55	1941
chr3:18693365-18693781	Cluster_712	N	1	1	2	34
chr3:18697989-18698395	Cluster_713	N	19	4	2	22
chr3:18776035-18776460	Cluster_714	N	199	68	11	126
chr3:18776871-18777296	Cluster_715	N	37	31	6	68
chr3:18880290-18880707	Cluster_716	N	95	366	2	0
chr3:18947128-18947545	Cluster_717	N	66	15	2	4
chr3:19132617-19133035	Cluster_718	N	44	276	0	8
chr3:19289170-19289587	Cluster_719	N	98	12	141	14
chr3:19338423-19338839	Cluster_720	N	3	1	20	205
chr3:19426462-19426880	Cluster_721	N	7	29	206	44
chr3:19599946-19600366	Cluster_722	N	69	321	1	2
chr3:19607051-19607465	Cluster_723	N	0	0	2	32
chr3:19762565-19762981	Cluster_724	N	0	0	125	0
chr3:19778881-19779295	Cluster_725	N	1	0	0	135
chr3:19782241-19782657	Cluster_726	N	3	0	11	33
chr3:19837192-19837609	Cluster_727	N	0	1	3	155
chr3:19843792-19844210	Cluster_728	N	5	28	29	8
chr3:20034291-20034818	Cluster_729	N	54	14	22	24
chr3:20052823-20053237	Cluster_730	N	10	10	7	13
chr3:20116693-20117110	Cluster_731	N	6	45	0	0
chr3:20257909-20258326	Cluster_732	N	0	0	0	299
chr3:20330766-20331183	Cluster_733	N	18	7	3	4
chr3:20386017-20386722	Cluster_734	N	141	76	61	110
chr3:20484321-20484739	Cluster_735	N	1	8	22	4
chr3:20730152-20730568	Cluster_736	N	0	0	0	68
chr3:20769610-20770026	Cluster_737	N	116	104	21	56
chr4:98195-98612	Cluster_738	N	44	11	0	1
chr4:161790-162209	Cluster_739	N	8	3	37	7
chr4:322624-323042	Cluster_740	N	10	51	5	19
chr4:336848-337284	Cluster_741	N	241	78	10	25
chr4:630649-631153	Cluster_742	N	5	9	1375	185
chr4:671127-671545	Cluster_743	N	31	6	58	32
chr4:696332-696747	Cluster_744	N	17	42	0	5
chr4:828324-828741	Cluster_745	N	3	72	13	1
chr4:907418-907835	Cluster_746	N	29	15	8	0
chr4:1143478-1143890	Cluster_747	N	0	0	0	31
chr4:1288629-1289045	Cluster_748	N	33	6	19	8
chr4:1467731-1468149	Cluster_749	N	1	1	0	537
chr4:1497905-1498321	Cluster_750	N	2	1	1	36
chr4:1599966-1600395	Cluster_751	N	0	3	37	5
chr4:1606615-1607040	Cluster_752	N	2	2	65	0
chr4:1678669-1679086	Cluster_753	N	0	0	0	78
chr4:1755005-1755420	Cluster_754	N	0	0	103	0
chr4:1885724-1886139	Cluster_755	N	0	0	1	87
chr4:2073840-2074257	Cluster_756	N	12	28	1	0
chr4:2176474-2176891	Cluster_757	N	52	38	0	0
chr4:2248273-2248690	Cluster_758	N	19	19	0	3
chr4:2699644-2700086	Cluster_759	N	70	50	67	36
chr4:2704709-2705189	Cluster_760	N	115	52	274	133
chr4:2710575-2710994	Cluster_761	N	0	1	0	38
chr4:2784911-2785330	Cluster_762	N	10	181	31	52
chr4:2785786-2786203	Cluster_763	N	0	0	39	453
chr4:2881305-2881722	Cluster_764	N	23	20	8	25
chr4:2891523-2891938	Cluster_765	N	0	84	1	0
chr4:3068514-3068931	Cluster_766	N	11	87	77	41
chr4:3120587-3121002	Cluster_767	N	10	21	0	0
chr4:3150410-3150826	Cluster_768	N	0	0	31	9
chr4:3259679-3260100	Cluster_769	N	29	24	5	348
chr4:3674223-3674639	Cluster_770	N	12	7	22	12
chr4:3740214-3740630	Cluster_771	N	2	27	2	0
chr4:3772436-3772853	Cluster_772	N	21	9	1	18
chr4:3877057-3877478	Cluster_773	N	3	6	20	5
chr4:3907951-3908429	Cluster_774	N	411	135	297	216
chr4:3987955-3988371	Cluster_775	N	24	6	3	36
chr4:4177568-4177986	Cluster_776	N	10	16	18	33
chr4:4470341-4470756	Cluster_777	N	4	36	24	4
chr4:4518127-4518542	Cluster_778	N	17	3	0	11
chr4:4771240-4771802	Cluster_779	N	355	3	44	2
chr4:4772659-4773078	Cluster_780	N	0	4	42	1
chr4:4773087-4773506	Cluster_781	N	71	2	0	0
chr4:4774508-4774927	Cluster_782	N	70	8	0	0
chr4:4779220-4779639	Cluster_783	N	68	4	0	1
chr4:4781219-4781638	Cluster_784	N	67	4	1	1
chr4:4782222-4782641	Cluster_785	N	68	7	0	1
chr4:4786533-4786952	Cluster_786	N	67	0	1	0
chr4:4787829-4788536	Cluster_787	N	135	8	43	2
chr4:4792423-4792842	Cluster_788	N	68	1	0	0
chr4:4795726-4796145	Cluster_789	N	67	5	1	1
chr4:4800473-4801178	Cluster_790	N	135	6	0	0
chr4:4802611-4803030	Cluster_791	N	68	3	0	0
chr4:4807628-4808047	Cluster_792	N	67	4	0	0
chr4:4808757-4809172	Cluster_793	N	57	3	0	0
chr4:4809343-4809762	Cluster_794	N	67	2	0	1
chr4:4816882-4817301	Cluster_795	N	68	2	0	0
chr4:4817747-4818166	Cluster_796	N	67	1	0	0
chr4:4821290-4821709	Cluster_797	N	68	1	0	0
chr4:4825108-4825527	Cluster_798	N	68	1	0	0
chr4:4869664-4870084	Cluster_799	N	38	5	1	0
chr4:4870525-4870945	Cluster_800	N	50	3	2	0
chr4:4875107-4875527	Cluster_801	N	38	21	1	7
chr4:4876541-4876961	Cluster_802	N	38	20	1	7
chr4:4877406-4877971	Cluster_803	N	79	19	3	14
chr4:4877985-4878402	Cluster_804	N	53	17	0	8
chr4:4886221-4886641	Cluster_805	N	43	24	2	4
chr4:4887087-4887507	Cluster_806	N	41	24	1	2
chr4:4889097-4889517	Cluster_807	N	40	3	1	7
chr4:4890531-4890950	Cluster_808	N	0	1	45	2
chr4:4891539-4892247	Cluster_809	N	81	2	4	3
chr4:4895413-4896122	Cluster_810	N	329	485	52	6
chr4:4897014-4897429	Cluster_811	N	49	9	0	17
chr4:4897714-4898134	Cluster_812	N	42	17	1	13
chr4:4899157-4899574	Cluster_813	N	36	4	0	0
chr4:4904333-4904753	Cluster_814	N	43	2	2	4
chr4:4905772-4906193	Cluster_815	N	458	7	0	0
chr4:4906758-4907178	Cluster_816	N	40	0	2	1
chr4:4907334-4907754	Cluster_817	N	51	20	2	9
chr4:4908794-4909216	Cluster_818	N	101	5	7	6
chr4:4909515-4909935	Cluster_819	N	54	1	2	2
chr4:4910810-4911230	Cluster_820	N	55	9	2	2
chr4:4911529-4911949	Cluster_821	N	54	8	2	2
chr4:4913400-4913820	Cluster_822	N	55	8	2	2
chr4:4914839-4915258	Cluster_823	N	0	4	50	2
chr4:4933429-4933962	Cluster_824	N	69	20	119	55
chr4:4935118-4935644	Cluster_825	N	89	14	75	25
chr4:4935784-4936321	Cluster_826	N	281	101	177	101
chr4:4941300-4941814	Cluster_827	N	36	15	30	23
chr4:4942626-4943094	Cluster_828	N	170	67	103	68
chr4:4943135-4943603	Cluster_829	N	203	89	83	54
chr4:4943836-4944311	Cluster_830	N	20	11	43	89
chr4:4944901-4945761	Cluster_831	N	222	119	247	123
chr4:5004721-5005140	Cluster_832	N	142	1509	0	3
chr4:5106913-5107330	Cluster_833	N	14	5	2	14
chr4:5383276-5383694	Cluster_834	N	21	32	2	0
chr4:5614428-5614845	Cluster_835	N	99	19	0	14
chr4:5997274-5997689	Cluster_836	N	0	0	0	39
chr4:6044989-6045488	Cluster_837	N	118	16	13	20
chr4:6525251-6525672	Cluster_838	N	32	47	0	0
chr4:6526743-6527321	Cluster_839	N	24	31	2	0
chr4:6529352-6529783	Cluster_840	N	2	50	0	1
chr4:6799986-6800405	Cluster_841	N	0	0	0	194
chr4:7214294-7214711	Cluster_842	N	2	3	4	35
chr4:7282213-7282641	Cluster_843	N	0	1	38	2
chr4:7412118-7412533	Cluster_844	N	0	0	0	129
chr4:7445432-7445840	Cluster_845	N	5	18	7	3
chr4:7599623-7600083	Cluster_846	N	82	53	127	144
chr4:7602952-7603372	Cluster_847	N	20	6	2	12
chr4:7603536-7604010	Cluster_848	N	29	28	21	23
chr4:7622026-7622440	Cluster_849	N	0	0	0	41
chr4:7672667-7673082	Cluster_850	N	32	1	13	0
chr4:7689878-7690294	Cluster_851	N	95	27	6	39
chr4:7741940-7742354	Cluster_852	N	0	0	0	60
chr4:7973908-7974324	Cluster_853	N	6	6	0	22
chr4:8004292-8004709	Cluster_854	N	0	0	0	110
chr4:8181477-8181912	Cluster_855	N	55	28	0	23
chr4:8263858-8264276	Cluster_856	N	6	30	38	31
chr4:8345283-8345698	Cluster_857	N	0	0	0	77
chr4:8347518-8347939	Cluster_858	N	40	51	0	1
chr4:8408425-8408843	Cluster_859	N	64	59	25	31
chr4:8659056-8659472	Cluster_860	N	21	33	0	0
chr4:8952783-8953198	Cluster_861	N	25	43	0	5
chr4:9183157-9183591	Cluster_862	N	0	31	458	79
chr4:9186851-9187275	Cluster_863	N	0	0	36	16
chr4:9191307-9191720	Cluster_864	N	25	1	11	1
chr4:9191980-9192520	Cluster_865	N	29	15	74	21
chr4:9238639-9239072	Cluster_866	N	218	38	0	83
chr4:9243552-9244019	Cluster_867	N	82	47	19	31
chr4:9247516-9248058	Cluster_868	N	96	36	12	54
chr4:9326369-9326783	Cluster_869	N	2	54	0	0
chr4:9689713-9690291	Cluster_870	N	107	61	124	142
chr4:9870443-9870858	Cluster_871	N	0	48	5	0
chr4:9885360-9885777	Cluster_872	N	53	13	0	7
chr4:9908279-9908695	Cluster_873	N	22	93	5	0
chr4:10181831-10182246	Cluster_874	N	0	0	0	57
chr4:10199065-10199482	Cluster_875	N	34	4	7	2
chr4:10205601-10206018	Cluster_876	N	15	194	78	34
chr4:10451081-10451497	Cluster_877	N	15	3	2	25
chr4:10645412-10645827	Cluster_878	N	1	0	275	42
chr4:10928732-10929149	Cluster_879	N	0	0	0	72
chr4:10988174-10988646	Cluster_880	N	341	165	14	135
chr4:11046618-11047033	Cluster_881	N	21	12	0	0
chr4:11110059-11110488	Cluster_882	N	16	13	36	35
chr4:11144323-11144887	Cluster_883	N	246	30	165	276
chr4:11145409-11145870	Cluster_884	N	324	117	73	85
chr4:11146557-11146977	Cluster_885	N	13	6	26	5
chr4:11148694-11149160	Cluster_886	N	47	22	29	14
chr4:11152181-11152646	Cluster_887	N	134	36	29	103
chr4:11191795-11192256	Cluster_888	N	334	113	75	76
chr4:11195046-11195512	Cluster_889	N	44	25	23	15
chr4:11198398-11198852	Cluster_890	N	1	2	114	8
chr4:11200593-11201017	Cluster_891	N	0	1	28	13
chr4:11244335-11244752	Cluster_892	N	17	54	0	2
chr4:11246947-11247395	Cluster_893	N	9136	15125	145	1053
chr4:11414679-11415107	Cluster_894	N	89	3	30	36
chr4:11501836-11502288	Cluster_895	N	50	35	18	16
chr4:11505632-11506060	Cluster_896	N	37	8	24	11
chr4:11506918-11507357	Cluster_897	N	71	42	43	36
chr4:11602217-11603602	Cluster_898	N	377	242	217	181
chr4:11675990-11676408	Cluster_899	N	19	11	2	1
chr4:11939038-11939459	Cluster_900	N	4	21	25	19
chr4:11972716-11973132	Cluster_901	N	9	46	63	20
chr4:12188365-12188780	Cluster_902	N	0	0	2	134
chr4:12207142-12207558	Cluster_903	N	11	55	3	1
chr4:12267489-12267912	Cluster_904	N	3	4	27	18
chr4:12293542-12294248	Cluster_905	N	851	512	645	525
chr4:12438846-12439263	Cluster_906	N	59	238	0	2
chr4:12448018-12448432	Cluster_907	N	1	33	0	0
chr4:12617570-12617985	Cluster_908	N	0	0	0	68
chr4:12655001-12655415	Cluster_909	N	0	0	0	28
chr4:12785245-12785714	Cluster_910	N	1255	689	814	422
chr4:12820965-12821382	Cluster_911	N	2	36	21	4
chr4:12886706-12887120	Cluster_912	N	0	0	0	36
chr4:12947928-12948336	Cluster_913	N	30	2	4	1
chr4:13079499-13079910	Cluster_914	N	17	3	9	2
chr4:13081657-13082073	Cluster_915	N	0	15	36	13
chr4:13187682-13188097	Cluster_916	N	0	2	3	141
chr4:13257824-13258296	Cluster_917	N	126	37	150	114
chr4:13258529-13258968	Cluster_918	N	9	18	32	29
chr4:13259560-13260029	Cluster_919	N	102	16	20	27
chr4:13317221-13317635	Cluster_920	N	3	33	0	0
chr4:13395801-13396217	Cluster_921	N	0	0	0	185
chr4:13419016-13419436	Cluster_922	N	14	36	0	0
chr4:13453651-13454067	Cluster_923	N	17	11	1	5
chr4:13601691-13602111	Cluster_924	N	9	3	76	66
chr4:13709834-13710251	Cluster_925	N	4	6	103	15
chr4:14429959-14430373	Cluster_926	N	1	0	29	1
chr4:14692766-14693181	Cluster_927	N	0	0	0	79
chr4:14713605-14714019	Cluster_928	N	0	0	1	32
chr4:14733196-14733614	Cluster_929	N	12	10	3	77
chr4:14743571-14743989	Cluster_930	N	54	6	32	12
chr4:14817250-14817664	Cluster_931	N	5	30	1	0
chr4:15050851-15051267	Cluster_932	N	62	242	8	9
chr4:15470003-15470417	Cluster_933	N	3	0	1	51
chr4:15470667-15471179	Cluster_934	N	8	1	3	97
chr4:15484457-15484874	Cluster_935	N	32	14	8	1
chr4:15638220-15638633	Cluster_936	N	4	19	3	8
chr4:15691466-15691995	Cluster_937	N	297	82	161	54
chr4:15706154-15706683	Cluster_938	N	529	233	401	141
chr4:15761017-15761436	Cluster_939	N	1	62	1	0
chr4:15835818-15836233	Cluster_940	N	0	0	0	130
chr4:16024942-16025357	Cluster_941	N	0	0	45	1
chr4:16036757-16037171	Cluster_942	N	17	10	4	4
chr4:16095868-16096283	Cluster_943	N	16	94	0	0
chr4:16106136-16106552	Cluster_944	N	0	1	0	90
chr4:16135179-16135598	Cluster_945	N	19	114	2	0
chr4:16338971-16339387	Cluster_946	N	2	11	40	5
chr4:16411137-16411552	Cluster_947	N	0	1	0	42
chr4:16853534-16853952	Cluster_948	N	0	0	0	111
chr4:16918777-16919192	Cluster_949	N	16	8	2	42
chr4:17023642-17024057	Cluster_950	N	9	21	10	6
chr4:17319540-17319956	Cluster_951	N	4	50	16	7
chr4:17502518-17502965	Cluster_952	N	47	1149	30	108
