"","miRNA","three_UTR","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","gene_name"
"256","Cluster_2306","3prime_UTR::Ap5:21761649-21762649(-)",161,-20.68,"2 19","744 765",19,"78.95%","78.95%","evm.model.Ap5.2065"
"257","Cluster_2306","3prime_UTR::Ap5:27299081-27300081(+)",160,-20.98,"2 19","214 232",17,"76.47%","88.24%","evm.model.Ap5.2679"
"258","Cluster_2306","3prime_UTR::Ap6:1165978-1166978(-)",151,-20.03,"2 19","513 534",20,"75.00%","75.00%","evm.model.Ap6.133"
"259","Cluster_2306","3prime_UTR::Ap6:14328691-14329152(+)",170,-21.76,"2 19","46 65",17,"76.47%","94.12%","evm.model.Ap6.1474"
"260","Cluster_2306","3prime_UTR::Ap6:21013712-21014712(-)",149,-21.67,"2 19","470 485",17,"76.47%","76.47%","evm.model.Ap6.2132"
"261","Cluster_2306","3prime_UTR::Ap6:30456429-30457429(+)",163,-20.85,"2 16","584 603",14,"78.57%","100.00%","evm.model.Ap6.2994"
"262","Cluster_2306","3prime_UTR::Ap6:31413909-31414909(-)",151,-20.03,"2 19","546 567",20,"75.00%","75.00%","evm.model.Ap6.3077"
"263","Cluster_2306","3prime_UTR::Ap6:4170038-4171038(+)",170,-21.23,"2 19","383 402",17,"76.47%","94.12%","evm.model.Ap6.466"
"264","Cluster_2306","3prime_UTR::Ap6:5950586-5951586(-)",149,-21.67,"2 19","468 483",17,"76.47%","76.47%","evm.model.Ap6.620"
"265","Cluster_2306","3prime_UTR::Ap8:14009899-14010899(-)",152,-21.78,"2 19","55 77",20,"70.00%","80.00%","evm.model.Ap8.1257"
"266","Cluster_2306","3prime_UTR::Ap8:15857645-15858645(+)",174,-20.98,"2 19","672 691",17,"88.24%","88.24%","evm.model.Ap8.1405"
"267","Cluster_2306","3prime_UTR::Ap8:18475752-18476752(-)",151,-20.03,"2 19","440 461",20,"75.00%","75.00%","evm.model.Ap8.1695"
"268","Cluster_2306","3prime_UTR::Ap8:18959742-18960742(+)",151,-20.03,"2 19","507 528",20,"75.00%","75.00%","evm.model.Ap8.1722"
"269","Cluster_2306","3prime_UTR::Ap8:19203717-19204717(-)",157,-20.82,"2 19","720 741",19,"73.68%","78.95%","evm.model.Ap8.1739"
"270","Cluster_2306","3prime_UTR::Ap8:22155890-22156890(-)",153,-21.27,"2 14","362 381",12,"83.33%","91.67%","evm.model.Ap8.2001"
"271","Cluster_2306","3prime_UTR::Ap8:2422639-2423639(-)",153,-20.15,"2 16","95 116",16,"81.25%","87.50%","evm.model.Ap8.241"
"272","Cluster_2306","3prime_UTR::Ap8:26462353-26463353(+)",151,-20.03,"2 19","251 272",20,"75.00%","75.00%","evm.model.Ap8.2423"
"273","Cluster_2306","3prime_UTR::Ap8:28842079-28843079(-)",151,-20.03,"2 19","328 349",20,"75.00%","75.00%","evm.model.Ap8.2631"
"274","Cluster_2306","3prime_UTR::Ap8:7851804-7852804(-)",166,-23.14,"2 16","711 731",15,"93.33%","93.33%","evm.model.Ap8.716"
"275","Cluster_2306","3prime_UTR::Ap9:15292135-15293135(+)",166,-20.03,"2 19","147 166",17,"82.35%","82.35%","evm.model.Ap9.1423"
"276","Cluster_2306","3prime_UTR::Ap9:15769877-15770877(-)",168,-22.13,"2 19","852 873",19,"84.21%","89.47%","evm.model.Ap9.1465"
"277","Cluster_2306","3prime_UTR::Ap9:21333310-21334310(+)",151,-20.03,"2 19","844 865",20,"75.00%","75.00%","evm.model.Ap9.1953"
"278","Cluster_2306","3prime_UTR::Ap9:2342466-2343466(-)",151,-20.03,"2 19","601 622",20,"75.00%","75.00%","evm.model.Ap9.229"
"279","Cluster_2637","3prime_UTR::Ap10:14767616-14768616(+)",158,-20.96,"2 21","127 148",19,"73.68%","78.95%","evm.model.Ap10.1480"
"280","Cluster_2637","3prime_UTR::Ap10:15010563-15011563(+)",177,-23.2,"2 18","115 137",16,"87.50%","100.00%","evm.model.Ap10.1505"
"281","Cluster_2637","3prime_UTR::Ap10:15246004-15247004(-)",171,-25.52,"2 22","389 410",20,"80.00%","85.00%","evm.model.Ap10.1540"
"282","Cluster_2637","3prime_UTR::Ap10:1932612-1933612(-)",151,-22,"2 12","104 126",10,"90.00%","100.00%","evm.model.Ap10.198"
"283","Cluster_2637","3prime_UTR::Ap10:19596468-19597468(+)",153,-20.27,"2 21","558 586",25,"72.00%","72.00%","evm.model.Ap10.1930"
"284","Cluster_2637","3prime_UTR::Ap10:4206669-4207669(-)",159,-21.09,"2 21","710 733",20,"70.00%","80.00%","evm.model.Ap10.398"
"285","Cluster_2637","3prime_UTR::Ap10:5518367-5519367(+)",157,-22.59,"2 22","307 329",20,"65.00%","75.00%","evm.model.Ap10.533"
"286","Cluster_2637","3prime_UTR::Ap10:5596859-5597859(+)",164,-20.72,"2 22","946 965",20,"80.00%","85.00%","evm.model.Ap10.547"
"287","Cluster_2637","3prime_UTR::Ap10:5635836-5636836(+)",164,-20.72,"2 22","931 950",20,"80.00%","85.00%","evm.model.Ap10.559"
"288","Cluster_2637","3prime_UTR::Ap11:16963090-16964090(-)",148,-20.55,"2 22","195 217",22,"72.73%","72.73%","evm.model.Ap11.1531"
"289","Cluster_2637","3prime_UTR::Ap11:7711810-7712810(+)",166,-21.62,"2 21","780 801",19,"78.95%","84.21%","evm.model.Ap11.686"
"290","Cluster_2637","3prime_UTR::Ap11:8024677-8025677(-)",165,-22.8,"2 22","259 281",20,"75.00%","75.00%","evm.model.Ap11.726"
"291","Cluster_2637","3prime_UTR::Ap11:9708508-9709508(-)",156,-20.54,"2 14","749 772",13,"92.31%","92.31%","evm.model.Ap11.883"
"292","Cluster_2637","3prime_UTR::Ap12:15468948-15469948(+)",155,-20.87,"2 22","563 587",22,"72.73%","72.73%","evm.model.Ap12.1471"
"294","Cluster_2637","3prime_UTR::Ap12:24608017-24609017(-)",163,-21.96,"2 18","369 394",19,"84.21%","84.21%","evm.model.Ap12.2324"
"295","Cluster_2637","3prime_UTR::Ap12:25918583-25919583(-)",166,-20.82,"2 15","912 934",13,"92.31%","100.00%","evm.model.Ap12.2455"
"296","Cluster_2637","3prime_UTR::Ap12:27658701-27659701(+)",167,-20.16,"2 22","461 486",23,"78.26%","78.26%","evm.model.Ap12.2620"
"297","Cluster_2637","3prime_UTR::Ap12:4360699-4361699(+)",175,-21.22,"2 20","595 617",18,"83.33%","88.89%","evm.model.Ap12.439"
"298","Cluster_2637","3prime_UTR::Ap12:5760914-5761914(-)",150,-23,"2 22","156 188",30,"66.67%","66.67%","evm.model.Ap12.533"
"299","Cluster_2637","3prime_UTR::Ap12:7839827-7840503(-)",163,-21.13,"2 22","550 575",23,"73.91%","78.26%","evm.model.Ap12.702"
"300","Cluster_2637","3prime_UTR::Ap12:99263-100263(-)",160,-23.61,"2 19","533 554",17,"76.47%","88.24%","evm.model.Ap12.12"
"305","Cluster_2637","3prime_UTR::Ap13:11361179-11361646(+)",141,-20.09,"2 22","199 219",20,"65.00%","70.00%","evm.model.Ap13.1092"
"306","Cluster_2637","3prime_UTR::Ap13:12038662-12039662(+)",163,-23.3,"2 22","614 638",22,"77.27%","77.27%","evm.model.Ap13.1168"
"307","Cluster_2637","3prime_UTR::Ap13:13827360-13827539(-)",156,-21.4,"2 22","69 92",21,"71.43%","71.43%","evm.model.Ap13.1305"
"311","Cluster_2637","3prime_UTR::Ap13:19212849-19213849(-)",155,-21.53,"2 21","476 495",19,"78.95%","78.95%","evm.model.Ap13.1800"
"312","Cluster_2637","3prime_UTR::Ap13:21728349-21729349(+)",169,-22.06,"2 22","974 996",20,"75.00%","80.00%","evm.model.Ap13.2018"
"313","Cluster_2637","3prime_UTR::Ap13:2605685-2606685(+)",159,-24.48,"2 22","802 830",26,"69.23%","73.08%","evm.model.Ap13.233"
"314","Cluster_2637","3prime_UTR::Ap13:30149710-30150710(+)",162,-20.65,"2 19","368 390",17,"70.59%","88.24%","evm.model.Ap13.2842"
"315","Cluster_2637","3prime_UTR::Ap13:33502349-33503349(-)",156,-21.41,"2 22","655 680",23,"69.57%","69.57%","evm.model.Ap13.3180"
"316","Cluster_2637","3prime_UTR::Ap13:3665956-3666956(-)",151,-20.25,"2 22","126 145",20,"75.00%","80.00%","evm.model.Ap13.352"
"317","Cluster_2637","3prime_UTR::Ap13:3890119-3891119(+)",175,-22.11,"2 20","554 576",18,"83.33%","88.89%","evm.model.Ap13.369"
"318","Cluster_2637","3prime_UTR::Ap13:5723444-5724444(-)",158,-20.27,"2 22","450 472",21,"76.19%","76.19%","evm.model.Ap13.558"
"319","Cluster_2637","3prime_UTR::Ap13:8511227-8512227(-)",162,-23.91,"2 22","383 405",21,"76.19%","80.95%","evm.model.Ap13.830"
"320","Cluster_2637","3prime_UTR::Ap13:8850668-8851668(-)",166,-20.55,"2 21","780 801",19,"78.95%","84.21%","evm.model.Ap13.868"
"321","Cluster_2637","3prime_UTR::Ap14:18604405-18604975(-)",171,-21.7,"2 22","48 69",20,"80.00%","85.00%","evm.model.Ap14.1703"
"325","Cluster_2637","3prime_UTR::Ap14:19377895-19378895(-)",166,-24.61,"2 22","385 409",23,"78.26%","78.26%","evm.model.Ap14.1760"
"326","Cluster_2637","3prime_UTR::Ap14:2139522-2140238(-)",145,-20.12,"2 20","647 675",24,"66.67%","66.67%","evm.model.Ap14.208"
"330","Cluster_2637","3prime_UTR::Ap14:22395159-22396159(-)",155,-21.05,"2 22","540 570",28,"67.86%","67.86%","evm.model.Ap14.2044"
"331","Cluster_2637","3prime_UTR::Ap14:4788699-4789699(-)",164,-21.07,"2 21","208 230",19,"73.68%","78.95%","evm.model.Ap14.447"
"332","Cluster_2637","3prime_UTR::Ap1:10424855-10425855(-)",164,-21.95,"2 17","231 253",15,"80.00%","93.33%","evm.model.Ap1.1061"
"333","Cluster_2637","3prime_UTR::Ap1:11731658-11732658(-)",168,-21.6,"2 22","422 446",22,"77.27%","77.27%","evm.model.Ap1.1174"
"334","Cluster_2637","3prime_UTR::Ap1:12066183-12067008(-)",159,-23.38,"2 22","100 128",26,"69.23%","73.08%","evm.model.Ap1.1239"
"338","Cluster_2637","3prime_UTR::Ap1:12376722-12377722(-)",159,-20.52,"2 20","968 990",18,"72.22%","77.78%","evm.model.Ap1.1268"
"340","Cluster_2637","3prime_UTR::Ap1:16551574-16552574(-)",167,-22.48,"2 22","384 405",20,"80.00%","80.00%","evm.model.Ap1.1620"
"341","Cluster_2637","3prime_UTR::Ap1:18132926-18133893(-)",165,-22.42,"2 22","116 138",20,"70.00%","80.00%","evm.model.Ap1.1736"
"342","Cluster_2637","3prime_UTR::Ap1:23561636-23562636(-)",151,-20.75,"2 22","498 523",23,"69.57%","69.57%","evm.model.Ap1.2246"
"343","Cluster_2637","3prime_UTR::Ap1:23860696-23861696(-)",157,-21.06,"2 14","13 35",12,"91.67%","91.67%","evm.model.Ap1.2280"
"344","Cluster_2637","3prime_UTR::Ap1:24855104-24856104(+)",166,-23.72,"2 22","644 666",21,"80.95%","80.95%","evm.model.Ap1.2383"
"345","Cluster_2637","3prime_UTR::Ap1:27101828-27102828(-)",161,-21.9,"2 22","853 873",20,"80.00%","80.00%","evm.model.Ap1.2652"
"346","Cluster_2637","3prime_UTR::Ap1:28799423-28800423(-)",155,-22.83,"2 21","515 538",20,"70.00%","75.00%","evm.model.Ap1.2814"
"347","Cluster_2637","3prime_UTR::Ap1:28896165-28897165(-)",169,-20.95,"2 22","42 64",20,"75.00%","80.00%","evm.model.Ap1.2823"
"348","Cluster_2637","3prime_UTR::Ap1:2924923-2925923(+)",166,-21.62,"2 21","780 801",19,"78.95%","84.21%","evm.model.Ap1.321"
"349","Cluster_2637","3prime_UTR::Ap1:3101166-3102166(-)",169,-22.4,"2 22","779 801",20,"75.00%","80.00%","evm.model.Ap1.344"
"353","Cluster_2637","3prime_UTR::Ap1:34800184-34801184(-)",159,-22.08,"2 22","335 360",23,"73.91%","73.91%","evm.model.Ap1.3396"
"354","Cluster_2637","3prime_UTR::Ap1:40533000-40534000(+)",167,-20.47,"2 20","438 460",18,"77.78%","83.33%","evm.model.Ap1.3972"
"358","Cluster_2637","3prime_UTR::Ap1:42176400-42177400(+)",160,-21.88,"2 21","959 979",19,"78.95%","84.21%","evm.model.Ap1.4118"
"359","Cluster_2637","3prime_UTR::Ap1:42669443-42670443(-)",158,-21.7,"2 20","417 440",19,"73.68%","78.95%","evm.model.Ap1.4176"
"360","Cluster_2637","3prime_UTR::Ap1:4986684-4987338(-)",159,-22.41,"2 22","134 155",20,"75.00%","75.00%","evm.model.Ap1.540"
"361","Cluster_2637","3prime_UTR::Ap1:7307659-7308659(-)",174,-24.95,"2 22","641 661",20,"85.00%","85.00%","evm.model.Ap1.764"
"362","Cluster_2637","3prime_UTR::Ap1:7664868-7665868(-)",174,-24.95,"2 22","649 669",20,"85.00%","85.00%","evm.model.Ap1.806"
"363","Cluster_2637","3prime_UTR::Ap1:8144859-8145859(-)",174,-26.31,"2 20","160 183",19,"84.21%","89.47%","evm.model.Ap1.852"
"364","Cluster_2637","3prime_UTR::Ap2:15298739-15299739(-)",154,-21.47,"2 19","766 788",17,"64.71%","82.35%","evm.model.Ap2.1459"
"365","Cluster_2637","3prime_UTR::Ap2:16786285-16787285(-)",171,-25.45,"2 21","418 441",20,"80.00%","85.00%","evm.model.Ap2.1573"
"366","Cluster_2637","3prime_UTR::Ap2:2370568-2371568(+)",170,-22.4,"2 21","318 339",19,"84.21%","84.21%","evm.model.Ap2.259"
"367","Cluster_2637","3prime_UTR::Ap2:23819254-23820254(-)",167,-20.28,"2 22","498 519",20,"80.00%","80.00%","evm.model.Ap2.2230"
"368","Cluster_2637","3prime_UTR::Ap2:2616979-2617979(+)",141,-21.13,"2 19","744 767",18,"66.67%","66.67%","evm.model.Ap2.281"
"369","Cluster_2637","3prime_UTR::Ap2:27545374-27546374(-)",164,-22.03,"2 22","479 503",22,"72.73%","77.27%","evm.model.Ap2.2634"
"370","Cluster_2637","3prime_UTR::Ap2:29567588-29568588(+)",170,-20.29,"2 19","947 969",17,"82.35%","88.24%","evm.model.Ap2.2903"
"371","Cluster_2637","3prime_UTR::Ap2:31404329-31405329(+)",161,-21.75,"2 19","615 640",20,"75.00%","80.00%","evm.model.Ap2.3086"
"372","Cluster_2637","3prime_UTR::Ap2:37092101-37093101(+)",178,-21.92,"2 19","367 389",17,"88.24%","94.12%","evm.model.Ap2.3627"
"373","Cluster_2637","3prime_UTR::Ap2:3953308-3954308(-)",163,-20.21,"2 18","249 270",16,"87.50%","87.50%","evm.model.Ap2.409"
"374","Cluster_2637","3prime_UTR::Ap2:42542611-42543611(-)",150,-22.5,"2 22","969 998",27,"66.67%","70.37%","evm.model.Ap2.4139"
"375","Cluster_2637","3prime_UTR::Ap2:434297-435297(-)",142,-21.07,"2 22","458 487",27,"62.96%","66.67%","evm.model.Ap2.43"
"376","Cluster_2637","3prime_UTR::Ap2:8930885-8931885(-)",152,-21.43,"2 17","623 645",15,"73.33%","80.00%","evm.model.Ap2.877"
"377","Cluster_2637","3prime_UTR::Ap2:9411645-9412645(-)",181,-22.21,"2 22","155 177",20,"85.00%","85.00%","evm.model.Ap2.917"
"378","Cluster_2637","3prime_UTR::Ap2:9891071-9892071(+)",171,-24.03,"2 22","273 299",24,"75.00%","83.33%","evm.model.Ap2.975"
"379","Cluster_2637","3prime_UTR::Ap3:12008630-12009630(-)",156,-23.43,"2 22","950 975",23,"69.57%","69.57%","evm.model.Ap3.1088"
"380","Cluster_2637","3prime_UTR::Ap3:13791865-13792865(-)",157,-20.86,"2 22","338 361",23,"69.57%","78.26%","evm.model.Ap3.1245"
"381","Cluster_2637","3prime_UTR::Ap3:13955673-13956673(-)",160,-25.15,"2 22","180 204",22,"72.73%","72.73%","evm.model.Ap3.1254"
"385","Cluster_2637","3prime_UTR::Ap3:20787391-20788391(+)",154,-20.95,"2 22","406 437",29,"68.97%","68.97%","evm.model.Ap3.1917"
"386","Cluster_2637","3prime_UTR::Ap3:21464563-21465563(-)",167,-25.87,"2 22","414 439",23,"78.26%","78.26%","evm.model.Ap3.1991"
"387","Cluster_2637","3prime_UTR::Ap3:25572180-25573180(-)",176,-28.73,"2 22","668 692",22,"77.27%","86.36%","evm.model.Ap3.2354"
"388","Cluster_2637","3prime_UTR::Ap3:2717354-2718354(-)",166,-22.27,"2 19","228 250",17,"82.35%","82.35%","evm.model.Ap3.280"
"389","Cluster_2637","3prime_UTR::Ap3:373871-374871(-)",167,-23.99,"2 22","441 462",20,"80.00%","80.00%","evm.model.Ap3.31"
"390","Cluster_2637","3prime_UTR::Ap3:5416966-5417966(+)",162,-25.36,"2 22","549 577",26,"73.08%","76.92%","evm.model.Ap3.521"
"391","Cluster_2637","3prime_UTR::Ap4:11257208-11258208(+)",173,-20.46,"2 22","182 204",20,"80.00%","80.00%","evm.model.Ap4.1080"
"392","Cluster_2637","3prime_UTR::Ap4:13419467-13420467(-)",158,-20.5,"2 21","30 51",19,"73.68%","78.95%","evm.model.Ap4.1297"
"393","Cluster_2637","3prime_UTR::Ap4:13750539-13751349(-)",158,-23.28,"2 22","326 348",21,"76.19%","76.19%","evm.model.Ap4.1333"
"394","Cluster_2637","3prime_UTR::Ap4:14050461-14051461(-)",173,-21.13,"2 19","30 53",18,"83.33%","94.44%","evm.model.Ap4.1350"
"395","Cluster_2637","3prime_UTR::Ap4:14322139-14323139(+)",169,-20.24,"2 22","509 531",20,"70.00%","85.00%","evm.model.Ap4.1366"
"396","Cluster_2637","3prime_UTR::Ap4:14324822-14325822(-)",146,-21.69,"2 22","783 811",26,"65.38%","69.23%","evm.model.Ap4.1367"
"397","Cluster_2637","3prime_UTR::Ap4:15019050-15019357(-)",163,-21.13,"2 22","181 206",23,"73.91%","78.26%","evm.model.Ap4.1437"
"398","Cluster_2637","3prime_UTR::Ap4:17101240-17102240(+)",162,-20.62,"2 21","852 873",19,"78.95%","78.95%","evm.model.Ap4.1692"
"400","Cluster_2637","3prime_UTR::Ap4:20081304-20082304(-)",167,-23.47,"2 22","334 361",25,"72.00%","80.00%","evm.model.Ap4.2165"
"401","Cluster_2637","3prime_UTR::Ap4:20200399-20201399(-)",166,-21.62,"2 21","780 801",19,"78.95%","84.21%","evm.model.Ap4.2185"
"402","Cluster_2637","3prime_UTR::Ap4:20366718-20367391(-)",165,-22.92,"2 14","351 373",12,"100.00%","100.00%","evm.model.Ap4.2209"
"403","Cluster_2637","3prime_UTR::Ap4:21956124-21956957(+)",168,-21.87,"2 21","514 536",19,"78.95%","78.95%","evm.model.Ap4.2535"
"407","Cluster_2637","3prime_UTR::Ap4:23974236-23975236(-)",169,-21.22,"2 22","769 791",20,"70.00%","85.00%","evm.model.Ap4.2916"
"408","Cluster_2637","3prime_UTR::Ap4:24959120-24959427(-)",163,-21.13,"2 22","181 206",23,"73.91%","78.26%","evm.model.Ap4.3109"
"409","Cluster_2637","3prime_UTR::Ap4:25865944-25866944(+)",164,-25.02,"2 22","799 822",21,"71.43%","80.95%","evm.model.Ap4.3308"
"410","Cluster_2637","3prime_UTR::Ap4:26130372-26131372(+)",163,-21.13,"2 22","183 208",23,"73.91%","78.26%","evm.model.Ap4.3364"
"411","Cluster_2637","3prime_UTR::Ap4:27764321-27765321(-)",164,-21.02,"2 22","40 66",24,"70.83%","75.00%","evm.model.Ap4.3672"
"412","Cluster_2637","3prime_UTR::Ap4:29455489-29456489(+)",146,-22.07,"2 19","549 571",17,"64.71%","70.59%","evm.model.Ap4.4034"
"413","Cluster_2637","3prime_UTR::Ap4:32075280-32076262(-)",166,-21.3,"2 20","606 629",19,"78.95%","84.21%","evm.model.Ap4.4558"
"417","Cluster_2637","3prime_UTR::Ap4:34057285-34058285(-)",142,-21.1,"2 20","776 805",25,"60.00%","64.00%","evm.model.Ap4.4888"
"418","Cluster_2637","3prime_UTR::Ap4:37385940-37386940(+)",166,-21.62,"2 21","780 801",19,"78.95%","84.21%","evm.model.Ap4.5273"
"419","Cluster_2637","3prime_UTR::Ap4:39250049-39251049(-)",157,-20.55,"2 22","510 532",20,"65.00%","75.00%","evm.model.Ap4.5456"
"420","Cluster_2637","3prime_UTR::Ap4:51525340-51526340(-)",172,-21.15,"2 22","180 203",21,"80.95%","80.95%","evm.model.Ap4.6700"
"421","Cluster_2637","3prime_UTR::Ap4:51954828-51955420(-)",166,-23.53,"2 15","570 592",13,"92.31%","100.00%","evm.model.Ap4.6758"
"422","Cluster_2637","3prime_UTR::Ap4:55299600-55300600(-)",157,-21.37,"2 19","20 44",19,"73.68%","78.95%","evm.model.Ap4.7045"
"423","Cluster_2637","3prime_UTR::Ap4:6412162-6413162(-)",182,-24.95,"2 19","660 682",17,"94.12%","94.12%","evm.model.Ap4.612"
"424","Cluster_2637","3prime_UTR::Ap5:10180815-10181815(-)",163,-23.6,"2 22","492 513",20,"75.00%","80.00%","evm.model.Ap5.971"
"425","Cluster_2637","3prime_UTR::Ap5:11263561-11264561(+)",166,-20.55,"2 21","780 801",19,"78.95%","84.21%","evm.model.Ap5.1068"
"426","Cluster_2637","3prime_UTR::Ap5:13961244-13962244(+)",164,-21.64,"2 22","624 648",22,"72.73%","77.27%","evm.model.Ap5.1275"
"427","Cluster_2637","3prime_UTR::Ap5:15220754-15221518(-)",167,-22.48,"2 22","281 302",20,"80.00%","80.00%","evm.model.Ap5.1393"
"428","Cluster_2637","3prime_UTR::Ap5:24053239-24054239(+)",168,-21.77,"2 22","884 907",21,"76.19%","80.95%","evm.model.Ap5.2307"
"429","Cluster_2637","3prime_UTR::Ap5:24645467-24646467(-)",162,-20.68,"2 22","775 795",20,"75.00%","80.00%","evm.model.Ap5.2357"
"430","Cluster_2637","3prime_UTR::Ap5:2475460-2476460(+)",166,-20.55,"2 21","780 801",19,"78.95%","84.21%","evm.model.Ap5.221"
"431","Cluster_2637","3prime_UTR::Ap5:26949727-26950727(-)",166,-20.55,"2 21","780 801",19,"78.95%","84.21%","evm.model.Ap5.2638"
"432","Cluster_2637","3prime_UTR::Ap5:28373226-28374226(-)",163,-26.82,"2 22","640 668",26,"73.08%","73.08%","evm.model.Ap5.2789"
"433","Cluster_2637","3prime_UTR::Ap5:28890553-28891553(+)",147,-20.77,"2 22","931 949",20,"70.00%","75.00%","evm.model.Ap5.2832"
"434","Cluster_2637","3prime_UTR::Ap5:29974408-29975408(+)",176,-22.97,"2 18","102 125",17,"94.12%","94.12%","evm.model.Ap5.2940"
"435","Cluster_2637","3prime_UTR::Ap5:943487-944487(+)",176,-20.22,"2 17","315 337",15,"93.33%","100.00%","evm.model.Ap5.79"
"436","Cluster_2637","3prime_UTR::Ap6:15825012-15826012(+)",171,-21.47,"2 21","425 449",21,"76.19%","85.71%","evm.model.Ap6.1589"
"437","Cluster_2637","3prime_UTR::Ap6:18695463-18696463(+)",157,-21.04,"2 22","162 182",20,"75.00%","80.00%","evm.model.Ap6.1871"
"462","Cluster_2637","3prime_UTR::Ap6:18776441-18777441(+)",160,-20.76,"2 18","389 412",17,"82.35%","82.35%","evm.model.Ap6.1881"
"463","Cluster_2637","3prime_UTR::Ap6:2530130-2531130(+)",169,-25.19,"2 22","64 86",20,"75.00%","80.00%","evm.model.Ap6.283"
"464","Cluster_2637","3prime_UTR::Ap6:27047704-27048704(-)",160,-23.88,"2 21","418 438",19,"78.95%","84.21%","evm.model.Ap6.2695"
"465","Cluster_2637","3prime_UTR::Ap6:33120573-33121573(-)",161,-21.42,"2 22","621 643",20,"70.00%","75.00%","evm.model.Ap6.3196"
"466","Cluster_2637","3prime_UTR::Ap6:33474676-33475676(+)",166,-20.22,"2 19","309 331",17,"82.35%","82.35%","evm.model.Ap6.3237"
"467","Cluster_2637","3prime_UTR::Ap6:5660176-5661176(-)",156,-23.43,"2 22","809 834",23,"69.57%","69.57%","evm.model.Ap6.594"
"468","Cluster_2637","3prime_UTR::Ap6:5729367-5730367(-)",164,-20.42,"2 22","3 27",22,"72.73%","77.27%","evm.model.Ap6.601_evm.TU.Ap6.602"
"469","Cluster_2637","3prime_UTR::Ap6:8265617-8266617(-)",167,-22.74,"2 21","643 666",20,"80.00%","80.00%","evm.model.Ap6.857"
"470","Cluster_2637","3prime_UTR::Ap7:18853628-18854137(-)",158,-21.93,"2 22","411 433",21,"76.19%","76.19%","evm.model.Ap7.1750"
"474","Cluster_2637","3prime_UTR::Ap7:24615231-24616231(-)",156,-23.43,"2 22","923 948",23,"69.57%","69.57%","evm.model.Ap7.2347"
"475","Cluster_2637","3prime_UTR::Ap7:25715142-25716142(+)",167,-21.91,"2 22","127 148",20,"75.00%","85.00%","evm.model.Ap7.2435"
"477","Cluster_2637","3prime_UTR::Ap8:11568848-11569848(-)",148,-20.29,"2 21","196 220",22,"72.73%","72.73%","evm.model.Ap8.1046"
"478","Cluster_2637","3prime_UTR::Ap8:11754432-11755432(+)",166,-22.17,"2 19","253 275",17,"82.35%","82.35%","evm.model.Ap8.1064"
"479","Cluster_2637","3prime_UTR::Ap8:15010635-15011635(-)",159,-20.03,"2 22","973 994",20,"75.00%","75.00%","evm.model.Ap8.1342"
"480","Cluster_2637","3prime_UTR::Ap8:17602774-17603774(+)",157,-26.64,"2 22","741 760",20,"75.00%","75.00%","evm.model.Ap8.1590"
"481","Cluster_2637","3prime_UTR::Ap8:272965-273965(+)",158,-21.84,"2 22","492 516",23,"73.91%","73.91%","evm.model.Ap8.14"
"483","Cluster_2637","3prime_UTR::Ap8:42191-43191(+)",162,-20.1,"2 15","568 590",13,"84.62%","100.00%","evm.model.Ap8.4"
"484","Cluster_2637","3prime_UTR::Ap8:9182660-9183660(-)",152,-26.1,"2 22","785 809",22,"68.18%","68.18%","evm.model.Ap8.851"
"485","Cluster_2637","3prime_UTR::Ap9:10573494-10574494(+)",166,-21.62,"2 21","780 801",19,"78.95%","84.21%","evm.model.Ap9.984"
"486","Cluster_2637","3prime_UTR::Ap9:11012274-11013274(+)",177,-23.3,"2 22","375 397",20,"80.00%","85.00%","evm.model.Ap9.1030"
"487","Cluster_2637","3prime_UTR::Ap9:14389188-14390188(+)",163,-22.52,"2 20","192 214",18,"72.22%","83.33%","evm.model.Ap9.1339"
"503","Cluster_2637","3prime_UTR::Ap9:20094929-20095929(-)",154,-20.89,"2 21","265 289",21,"71.43%","76.19%","evm.model.Ap9.1834"
"504","Cluster_2637","3prime_UTR::Ap9:21031727-21032727(+)",151,-23.65,"2 22","228 256",26,"65.38%","69.23%","evm.model.Ap9.1921"
"505","Cluster_2637","3prime_UTR::Ap9:21604444-21605444(+)",158,-21.4,"2 19","268 290",17,"76.47%","76.47%","evm.model.Ap9.1974"
"506","Cluster_2637","3prime_UTR::Ap9:23849172-23850172(-)",169,-22.08,"2 20","683 704",18,"83.33%","88.89%","evm.model.Ap9.2194"
"507","Cluster_2637","3prime_UTR::Ap9:29504819-29505819(-)",167,-23.99,"2 22","952 973",20,"80.00%","80.00%","evm.model.Ap9.2735"
"508","Cluster_2637","3prime_UTR::Ap9:4037898-4038898(-)",166,-21.62,"2 21","780 801",19,"78.95%","84.21%","evm.model.Ap9.378"
"509","Cluster_2651","3prime_UTR::Ap10:11512900-11513783(-)",162,-23.75,"2 15","235 253",13,"92.31%","92.31%","evm.model.Ap10.1101"
"513","Cluster_2651","3prime_UTR::Ap10:12614202-12615202(+)",149,-27.54,"2 18","225 243",16,"68.75%","75.00%","evm.model.Ap10.1214"
"514","Cluster_2651","3prime_UTR::Ap10:14769659-14770659(-)",152,-21.39,"2 13","416 434",11,"90.91%","90.91%","evm.model.Ap10.1481"
"515","Cluster_2651","3prime_UTR::Ap10:16839710-16840710(-)",151,-24.8,"2 12","423 441",10,"90.00%","100.00%","evm.model.Ap10.1689"
