Coords	Name	MIRNA	tapoc_2_S31_L001_R1_001_condensed	tapoc_3_S32_L001_R1_001_condensed	tapoc_4_S33_L001_R1_001_condensed
Ap14:20406843-20407260	Cluster_496	N	2	48	7
Ap14:20778524-20778939	Cluster_497	N	3	3	18
Ap14:20804705-20805123	Cluster_498	N	10	78	72
Ap14:20807631-20808043	Cluster_499	N	1	9	10
Ap14:20980991-20981426	Cluster_500	N	42	6	0
Ap14:20985656-20986070	Cluster_501	N	29	5	0
Ap14:21044277-21044693	Cluster_502	N	1	12	11
Ap14:21049824-21050240	Cluster_503	N	2	12	12
Ap14:21091268-21091684	Cluster_504	N	6	13	12
Ap14:21321801-21322214	Cluster_505	N	0	10	9
Ap14:21380075-21380489	Cluster_506	N	8	19	0
Ap14:21493392-21493807	Cluster_507	N	0	16	100
Ap14:21710315-21710726	Cluster_508	N	0	0	21
Ap14:21837391-21837819	Cluster_509	N	41	3	3
Ap14:21899656-21900068	Cluster_510	N	0	0	19
Ap14:21935431-21935852	Cluster_511	N	15	32	25
Ap14:22175147-22175610	Cluster_512	N	74	3	4
Ap14:22238412-22238833	Cluster_513	N	120	41	23
Ap3:112151-112566	Cluster_514	N	2	0	17
Ap3:116926-117347	Cluster_515	N	128	260	214
Ap3:225891-226306	Cluster_516	N	7	3	15
Ap3:318061-318475	Cluster_517	N	2	1	25
Ap3:371589-372019	Cluster_518	N	43	51	0
Ap3:430203-430616	Cluster_519	N	2	1	34
Ap3:571484-571901	Cluster_520	N	3	10	9
Ap3:740214-740632	Cluster_521	N	27	4	1
Ap3:1075419-1075835	Cluster_522	N	0	2	427
Ap3:1096670-1097097	Cluster_523	N	5	98	10
Ap3:1264453-1264867	Cluster_524	N	3	20	13
Ap3:1272311-1272762	Cluster_525	N	215	67	23
Ap3:1310129-1310598	Cluster_526	N	34	36	70
Ap3:1311069-1311489	Cluster_527	N	15	0	28
Ap3:1313682-1314122	Cluster_528	N	0	464	0
Ap3:1449492-1449925	Cluster_529	N	77	75	0
Ap3:1452320-1452788	Cluster_530	N	292	0	623
Ap3:1456826-1457508	Cluster_531	N	310	85	110
Ap3:1597846-1598257	Cluster_532	N	1	1	66
Ap3:1650854-1651274	Cluster_533	N	140	21	90
Ap3:1696427-1696838	Cluster_534	N	2	0	56
Ap3:1920612-1921025	Cluster_535	N	0	39	1
Ap3:1928236-1928650	Cluster_536	N	1	0	62
Ap3:2093772-2094307	Cluster_537	N	79	20	8
Ap3:2096022-2096505	Cluster_538	N	140	24	12
Ap3:2097796-2098332	Cluster_539	N	161	18	7
Ap3:2103726-2104166	Cluster_540	N	69	22	6
Ap3:2105655-2106070	Cluster_541	N	15	0	14
Ap3:2106200-2106641	Cluster_542	N	83	18	6
Ap3:2108795-2109228	Cluster_543	N	75	11	20
Ap3:2168547-2168963	Cluster_544	N	0	20	16
Ap3:2365930-2366407	Cluster_545	N	160	15	19
Ap3:2373498-2373936	Cluster_546	N	66	7	6
Ap3:2376429-2376981	Cluster_547	N	579	71	47
Ap3:2377135-2377601	Cluster_548	N	56	11	14
Ap3:2501892-2502307	Cluster_549	N	0	32	63
Ap3:2526647-2527061	Cluster_550	N	1	12	20
Ap3:2576779-2577191	Cluster_551	N	9	47	50
Ap3:2657882-2658298	Cluster_552	N	18	18	30
Ap3:2774251-2774669	Cluster_553	N	13	58	36
Ap3:2820690-2821106	Cluster_554	N	0	4	40
Ap3:2825380-2825796	Cluster_555	N	251	56	11
Ap3:2892256-2892671	Cluster_556	N	3	45	54
Ap3:2901518-2901934	Cluster_557	N	4	26	22
Ap3:3141153-3141570	Cluster_558	N	579	796	713
Ap3:3218384-3218800	Cluster_559	N	6	4	11
Ap3:3543221-3543639	Cluster_560	N	231	71	73
Ap3:3678290-3678708	Cluster_561	N	0	39	185
Ap3:3695633-3696053	Cluster_562	N	3	1	286
Ap3:3869677-3870094	Cluster_563	N	12	6	2
Ap3:3973638-3974049	Cluster_564	N	0	7	12
Ap3:4003475-4003888	Cluster_565	N	0	9	53
Ap3:4241043-4241459	Cluster_566	N	15	4	5
Ap3:4372647-4373061	Cluster_567	N	0	0	28
Ap3:4492682-4493097	Cluster_568	N	0	2	27
Ap3:4879711-4880121	Cluster_569	N	0	1	19
Ap3:5015565-5015982	Cluster_570	N	13	11	6
Ap3:5036473-5036892	Cluster_571	N	13	49	35
Ap3:5235730-5236156	Cluster_572	N	109	66	33
Ap3:5527239-5527653	Cluster_573	N	1	9	42
Ap3:5559637-5560053	Cluster_574	N	1	10	43
Ap3:5636276-5636695	Cluster_575	N	2	21	28
Ap3:5645197-5645615	Cluster_576	N	10	8	30
Ap3:5663420-5663832	Cluster_577	N	1	12	20
Ap3:6020010-6020438	Cluster_578	N	29	3	6
Ap3:6020792-6021220	Cluster_579	N	30	5	6
Ap3:6021581-6022009	Cluster_580	N	31	3	5
Ap3:6025194-6025622	Cluster_581	N	28	5	5
Ap3:6053475-6053893	Cluster_582	N	91	51	53
Ap3:6357220-6357636	Cluster_583	N	0	19	19
Ap3:6434986-6435400	Cluster_584	N	0	9	17
Ap3:6645930-6646342	Cluster_585	N	0	0	44
Ap3:7459942-7460356	Cluster_586	N	0	5	26
Ap3:7468643-7469057	Cluster_587	N	3	62	121
Ap3:7485389-7485803	Cluster_588	N	0	4	23
Ap3:7549728-7550147	Cluster_589	N	6	108	60
Ap3:7611225-7611662	Cluster_590	N	58	0	4
Ap3:7733100-7733517	Cluster_591	N	13	4	13
Ap3:7779441-7779944	Cluster_592	N	67	21	45
Ap3:8036265-8037024	Cluster_593	N	808	244	198
Ap3:8150248-8150664	Cluster_594	N	3	31	29
Ap3:8266788-8267204	Cluster_595	N	11	34	23
Ap3:8496207-8496626	Cluster_596	N	151	184	353
Ap3:8595134-8595550	Cluster_597	N	0	4	56
Ap3:8632926-8633343	Cluster_598	N	66	140	128
Ap3:8700694-8701111	Cluster_599	N	17	5	9
Ap3:8875067-8875476	Cluster_600	N	0	1	19
Ap3:8901088-8901502	Cluster_601	N	1	5	93
Ap3:8949074-8949498	Cluster_602	N	22	37	0
Ap3:9109789-9110200	Cluster_603	N	0	5	16
Ap3:9157682-9158098	Cluster_604	N	2	29	28
Ap3:9186871-9187287	Cluster_605	N	0	4	160
Ap3:9204550-9204966	Cluster_606	N	0	11	51
Ap3:9218617-9219040	Cluster_607	N	11	26	52
Ap3:9290986-9291398	Cluster_608	N	0	22	26
Ap3:9550185-9550603	Cluster_609	N	10	14	78
Ap3:9767900-9768313	Cluster_610	N	0	17	58
Ap3:10580683-10581100	Cluster_611	N	20	70	37
Ap3:10610957-10611373	Cluster_612	N	41	0	9
Ap3:10642237-10642652	Cluster_613	N	2	25	11
Ap3:10743356-10743769	Cluster_614	N	0	14	6
Ap3:10809287-10809703	Cluster_615	N	1	0	56
Ap3:11051060-11051475	Cluster_616	N	5	10	29
Ap3:11071526-11071941	Cluster_617	N	0	7	13
Ap3:11117358-11117775	Cluster_618	N	50	209	174
Ap3:11236436-11236850	Cluster_619	N	4	31	254
Ap3:11416405-11416824	Cluster_620	N	2	26	20
Ap3:11704680-11705095	Cluster_621	N	0	1	69
Ap3:11836998-11837419	Cluster_622	N	23	44	41
Ap3:11986659-11987076	Cluster_623	N	24	16	7
Ap3:12058311-12058726	Cluster_624	N	0	29	21
Ap3:12062942-12063382	Cluster_625	N	64	160	190
Ap3:12077959-12078376	Cluster_626	N	0	12	41
Ap3:12374032-12374448	Cluster_627	N	0	19	35
Ap3:12450650-12451067	Cluster_628	N	12	76	67
Ap3:12576032-12576449	Cluster_629	N	471	64	68
Ap3:12677159-12677573	Cluster_630	N	10	4	5
Ap3:12764202-12764615	Cluster_631	N	0	13	73
Ap3:12778626-12779042	Cluster_632	N	43	2	11
Ap3:12788597-12789018	Cluster_633	N	3	24	26
Ap3:13066000-13066411	Cluster_634	N	0	21	12
Ap3:13119966-13120379	Cluster_635	N	1	3	35
Ap3:13145565-13145981	Cluster_636	N	6	15	56
Ap3:13296357-13296789	Cluster_637	N	54	5	12
Ap3:13488697-13489111	Cluster_638	N	0	0	337
Ap3:13752349-13752762	Cluster_639	N	2	18	31
Ap3:13857594-13858009	Cluster_640	N	0	0	22
Ap3:13945231-13945648	Cluster_641	N	7	45	49
Ap3:14021085-14021496	Cluster_642	N	0	9	13
Ap3:14201180-14201598	Cluster_643	N	15	26	25
Ap3:14380308-14380723	Cluster_644	N	2	16	11
Ap3:14400673-14401092	Cluster_645	N	1	19	11
Ap3:14653726-14654146	Cluster_646	N	3	43	124
Ap3:14745499-14745910	Cluster_647	N	0	6	19
Ap3:15210028-15210439	Cluster_648	N	0	27	2
Ap3:15290433-15290847	Cluster_649	N	0	2	44
Ap3:15326297-15326718	Cluster_650	N	30	10	14
Ap3:15548487-15548957	Cluster_651	N	52	12	6
Ap3:15551159-15551630	Cluster_652	N	50	15	9
Ap3:15615117-15615531	Cluster_653	N	7	9	12
Ap3:15738623-15739035	Cluster_654	N	0	0	41
Ap3:16090620-16091033	Cluster_655	N	0	25	27
Ap3:16445446-16445861	Cluster_656	N	5	9	21
Ap3:16458853-16459268	Cluster_657	N	26	31	13
Ap3:16714118-16714533	Cluster_658	N	0	8	32
Ap3:16783211-16783625	Cluster_659	N	0	4	22
Ap3:16830362-16830776	Cluster_660	N	0	2	31
Ap3:16875694-16876110	Cluster_661	N	1	10	15
Ap3:16884884-16885300	Cluster_662	N	2	23	3
Ap3:16887563-16887976	Cluster_663	N	0	6	34
Ap3:17075563-17075974	Cluster_664	N	1	15	20
Ap3:17137307-17137715	Cluster_665	N	0	4	15
Ap3:17168987-17169402	Cluster_666	N	6	16	13
Ap3:17242587-17243005	Cluster_667	N	38	2	5
Ap3:17340923-17341335	Cluster_668	N	4	11	4
Ap3:17545494-17545908	Cluster_669	N	0	0	94
Ap3:17565436-17565850	Cluster_670	N	2	10	18
Ap3:17720306-17720780	Cluster_671	N	98	12	5
Ap3:17720803-17721588	Cluster_672	N	458	37	46
Ap3:17721697-17722187	Cluster_673	N	962	98	58
Ap3:17722518-17722960	Cluster_674	N	34	8	2
Ap3:17723152-17723585	Cluster_675	N	44	3	1
Ap3:17723681-17724177	Cluster_676	N	82	14	12
Ap3:17735065-17735480	Cluster_677	N	1	0	123
Ap3:17833975-17834388	Cluster_678	N	0	44	10
Ap3:17847218-17847633	Cluster_679	N	18	49	50
Ap3:17891837-17892253	Cluster_680	N	32	12	8
Ap3:17954930-17955347	Cluster_681	N	4	28	19
Ap3:18011504-18011920	Cluster_682	N	5	17	96
Ap3:18140389-18140803	Cluster_683	N	6	1	47
Ap3:18331855-18332270	Cluster_684	N	4	12	10
Ap3:18388748-18389162	Cluster_685	N	0	1	32
Ap3:18472240-18472656	Cluster_686	N	9	36	25
Ap3:18553892-18554347	Cluster_687	N	5808	5819	1112
Ap3:18629698-18630113	Cluster_688	N	67	754	1004
Ap3:18632695-18633108	Cluster_689	N	0	115	128
Ap3:18637328-18637741	Cluster_690	N	3	3	26
Ap3:18667417-18667831	Cluster_691	N	1	15	9
Ap3:18748972-18749385	Cluster_692	N	0	3	22
Ap3:18873601-18874018	Cluster_693	N	14	40	97
Ap3:18953990-18954409	Cluster_694	N	5	9	11
Ap3:19101761-19102176	Cluster_695	N	0	17	45
Ap3:19103973-19104385	Cluster_696	N	0	6	22
Ap3:19298227-19298648	Cluster_697	N	46	45	22
Ap3:19393219-19393634	Cluster_698	N	0	11	9
Ap3:19580069-19580485	Cluster_699	N	0	6	43
Ap3:19627512-19627930	Cluster_700	N	2	21	27
Ap3:19692728-19693139	Cluster_701	N	0	0	22
Ap3:19884957-19885495	Cluster_702	N	152	38	34
Ap3:19886715-19887253	Cluster_703	N	352	32	9
Ap3:19976298-19976714	Cluster_704	N	2	18	17
Ap3:19983579-19983995	Cluster_705	N	4	3	18
Ap3:20128603-20129015	Cluster_706	N	2	0	21
Ap3:20204190-20204606	Cluster_707	N	19	0	3
Ap3:20235732-20236157	Cluster_708	N	16	44	15
Ap3:20264456-20264868	Cluster_709	N	1	0	106
Ap3:20408870-20409286	Cluster_710	N	12	22	7
Ap3:20508230-20508645	Cluster_711	N	1	8	10
Ap3:20540877-20541288	Cluster_712	N	1	7	23
Ap3:20640821-20641235	Cluster_713	N	0	1	24
Ap3:20703794-20704210	Cluster_714	N	6	10	7
Ap3:20824350-20824772	Cluster_715	N	91	140	147
Ap3:20998412-20998826	Cluster_716	N	2	4	42
Ap3:21018559-21018975	Cluster_717	N	6	16	14
Ap3:21044141-21044563	Cluster_718	N	30	1	3
Ap3:21045211-21045623	Cluster_719	N	0	64	26
Ap3:21047877-21048302	Cluster_720	N	2	2	94
Ap3:21048906-21049320	Cluster_721	N	5	21	42
Ap3:21227908-21228323	Cluster_722	N	0	15	11
Ap3:21449066-21449478	Cluster_723	N	0	0	24
Ap3:21502657-21503128	Cluster_724	N	44	5	12
Ap3:21503785-21504252	Cluster_725	N	95	20	15
Ap3:21505464-21505939	Cluster_726	N	48	11	11
Ap3:21548307-21548720	Cluster_727	N	0	0	51
Ap3:21578652-21579069	Cluster_728	N	122	571	475
Ap3:21584043-21584461	Cluster_729	N	3	20	10
Ap3:21643400-21643493	Cluster_730	Y	83	11	11
Ap3:21646377-21646462	Cluster_731	Y	144	2	4
Ap3:21646793-21647212	Cluster_732	N	79	5	6
Ap3:21652205-21652298	Cluster_733	Y	84	10	8
Ap3:22072294-22072707	Cluster_734	N	2	0	25
Ap3:22110225-22110638	Cluster_735	N	0	2	31
Ap3:22128540-22128951	Cluster_736	N	0	2	32
Ap3:22148417-22148831	Cluster_737	N	0	1	21
Ap3:22406729-22407215	Cluster_738	N	33	13	3
Ap3:22413219-22413700	Cluster_739	N	79	2	11
Ap3:22499534-22499950	Cluster_740	N	0	14	16
Ap3:22512993-22513399	Cluster_741	N	0	0	20
Ap3:22633998-22634415	Cluster_742	N	1	20	35
Ap3:22779306-22779790	Cluster_743	N	1094	187	124
Ap3:22932485-22932902	Cluster_744	N	180	906	725
Ap3:23017943-23018358	Cluster_745	N	0	15	4
Ap3:23155475-23155936	Cluster_746	N	135	13	14
Ap3:23245913-23246334	Cluster_747	N	42	2	0
Ap3:23355985-23356397	Cluster_748	N	1	5	16
Ap3:23363161-23363573	Cluster_749	N	0	0	29
Ap3:23408439-23408858	Cluster_750	N	56	77	118
Ap3:23417917-23418333	Cluster_751	N	22	54	41
Ap3:23458251-23458668	Cluster_752	N	23	80	44
Ap3:23702603-23703017	Cluster_753	N	4	0	155
Ap3:23735827-23736239	Cluster_754	N	1	13	10
Ap3:23837483-23837899	Cluster_755	N	0	6	49
Ap3:23975096-23975512	Cluster_756	N	5	6	13
Ap3:23990330-23990744	Cluster_757	N	8	36	85
Ap3:24104951-24105366	Cluster_758	N	4	7	10
Ap3:24160482-24160897	Cluster_759	N	9	5	8
Ap3:24201101-24201518	Cluster_760	N	0	17	5
Ap3:24653173-24653591	Cluster_761	N	193	963	745
Ap3:24716060-24716483	Cluster_762	N	47	9	3
Ap3:24724648-24725065	Cluster_763	N	14	27	29
Ap3:24810099-24810511	Cluster_764	N	0	11	13
Ap3:25007528-25007945	Cluster_765	N	21	20	68
Ap3:25182194-25182618	Cluster_766	N	0	0	43
Ap3:25203063-25203474	Cluster_767	N	0	4	16
Ap3:25204951-25205366	Cluster_768	N	1	14	13
Ap3:25554309-25554722	Cluster_769	N	1	17	45
Ap3:25702524-25703020	Cluster_770	N	102	24	8
Ap3:25708819-25709348	Cluster_771	N	747	69	70
Ap3:26040298-26040714	Cluster_772	N	0	0	36
Ap3:26058325-26058741	Cluster_773	N	3	23	16
Ap3:26243016-26243434	Cluster_774	N	117	112	90
Ap3:26246510-26246925	Cluster_775	N	2	7	13
Ap3:26400462-26400879	Cluster_776	N	193	70	46
Ap3:26407456-26407874	Cluster_777	N	8	55	59
Ap3:26496114-26496531	Cluster_778	N	31	19	31
Ap3:26508198-26508614	Cluster_779	N	0	0	27
Ap3:26711164-26711575	Cluster_780	N	1	19	1
Ap3:26843391-26843806	Cluster_781	N	0	1	112
Ap3:26909391-26909806	Cluster_782	N	3	29	71
Ap3:26949756-26950172	Cluster_783	N	2	139	87
Ap3:27089579-27089992	Cluster_784	N	0	8	14
Ap3:27123341-27123778	Cluster_785	N	68	2	9
Ap3:27124010-27124446	Cluster_786	N	31	12	0
Ap3:27266502-27266971	Cluster_787	N	1010	195	242
Ap12:31864-32314	Cluster_788	N	252	31	30
Ap12:62717-63133	Cluster_789	N	4	12	5
Ap12:117841-118258	Cluster_790	N	6	30	68
Ap12:246643-247060	Cluster_791	N	14	0	12
Ap12:324728-325144	Cluster_792	N	4	1	34
Ap12:337565-337981	Cluster_793	N	0	22	130
Ap12:550997-551415	Cluster_794	N	11	19	14
Ap12:674496-674909	Cluster_795	N	10	3	7
Ap12:926900-927314	Cluster_796	N	0	13	12
Ap12:1120800-1121214	Cluster_797	N	0	12	8
Ap12:1143367-1143806	Cluster_798	N	221	232	274
Ap12:1147728-1148144	Cluster_799	N	8	55	40
Ap12:1184353-1184764	Cluster_800	N	0	18	18
Ap12:1203687-1204102	Cluster_801	N	0	0	238
Ap12:1348891-1349307	Cluster_802	N	3	18	12
Ap12:1521257-1521674	Cluster_803	N	24	36	35
Ap12:1613877-1614295	Cluster_804	N	0	12	31
Ap12:1634160-1634578	Cluster_805	N	26	0	0
Ap12:1655284-1655702	Cluster_806	N	20	48	47
Ap12:1661135-1661553	Cluster_807	N	21	44	47
Ap12:1708152-1708568	Cluster_808	N	8	29	14
Ap12:1987393-1987811	Cluster_809	N	1263	127	129
Ap12:1992408-1992824	Cluster_810	N	2	8	13
Ap12:2243407-2243819	Cluster_811	N	0	1	22
Ap12:2297500-2297919	Cluster_812	N	74	769	543
Ap12:2568988-2569402	Cluster_813	N	1	1	18
Ap12:2630857-2631328	Cluster_814	N	30215	4187	4
Ap12:2696042-2696456	Cluster_815	N	0	0	100
Ap12:2712541-2712958	Cluster_816	N	13	36	36
Ap12:2779997-2780414	Cluster_817	N	5	15	23
Ap12:3125443-3125874	Cluster_818	N	0	19	9
Ap12:3127229-3127665	Cluster_819	N	179	108	252
Ap12:3130277-3130705	Cluster_820	N	21	4	6
Ap12:3133995-3134416	Cluster_821	N	2	12	10
Ap12:3452148-3452564	Cluster_822	N	457	0	74
Ap12:3500857-3501274	Cluster_823	N	18	33	21
Ap12:3597380-3597797	Cluster_824	N	0	0	55
Ap12:3603388-3603805	Cluster_825	N	178	351	237
Ap12:3642754-3643171	Cluster_826	N	30	185	126
Ap12:3651434-3651848	Cluster_827	N	0	9	20
Ap12:3901819-3902239	Cluster_828	N	7	34	10
Ap12:4169052-4169469	Cluster_829	N	15	7	7
Ap12:4208736-4209154	Cluster_830	N	1	22	21
Ap12:4235093-4235504	Cluster_831	N	2	10	11
Ap12:4265798-4266217	Cluster_832	N	38	65	132
Ap12:4351722-4352133	Cluster_833	N	0	1	19
Ap12:4923878-4924295	Cluster_834	N	29	112	115
Ap12:4993210-4993625	Cluster_835	N	2	2	49
Ap12:5055783-5056199	Cluster_836	N	34	2	26
Ap12:5221506-5221920	Cluster_837	N	0	23	19
Ap12:5456638-5457099	Cluster_838	N	175	23	194
Ap12:5853418-5853835	Cluster_839	N	148	18	20
Ap12:5894770-5895192	Cluster_840	N	89	142	1
Ap12:6388988-6389495	Cluster_841	N	952	164	101
Ap12:6389711-6391051	Cluster_842	N	957	170	118
Ap12:6391081-6391805	Cluster_843	N	315	61	57
Ap12:6391849-6392611	Cluster_844	N	830	139	94
Ap12:6561175-6561594	Cluster_845	N	12	30	23
Ap12:6577704-6578121	Cluster_846	N	0	21	17
Ap12:6673481-6673897	Cluster_847	N	5	10	6
Ap12:6925771-6926187	Cluster_848	N	0	39	16
Ap12:7040397-7040814	Cluster_849	N	58	2	0
Ap12:7182145-7182563	Cluster_850	N	20	3	0
Ap12:7323488-7323907	Cluster_851	N	18	6	4
Ap12:7324036-7324460	Cluster_852	N	47	1	11
Ap12:7400801-7401215	Cluster_853	N	12	20	26
Ap12:7489350-7489767	Cluster_854	N	5	19	13
Ap12:7509516-7509930	Cluster_855	N	8	8	8
Ap12:7645918-7646329	Cluster_856	N	0	37	10
Ap12:7879541-7879956	Cluster_857	N	0	24	0
Ap12:8055418-8055829	Cluster_858	N	0	2	17
Ap12:8204216-8204636	Cluster_859	N	92	167	163
Ap12:8227775-8228190	Cluster_860	N	0	17	8
Ap12:8295838-8296250	Cluster_861	N	0	0	28
Ap12:8353341-8353757	Cluster_862	N	2	17	10
Ap12:8459909-8460321	Cluster_863	N	9	107	134
Ap12:8465324-8465749	Cluster_864	N	28	20	14
Ap12:8612667-8613082	Cluster_865	N	12	5	11
Ap12:9126294-9126709	Cluster_866	N	0	24	13
Ap12:9169574-9169992	Cluster_867	N	57	76	48
Ap12:9203913-9204329	Cluster_868	N	40	0	0
Ap12:9613305-9613722	Cluster_869	N	0	10	9
Ap12:9827811-9828227	Cluster_870	N	6	36	28
Ap12:9832051-9832469	Cluster_871	N	3	80	68
Ap12:9907450-9907863	Cluster_872	N	0	1	20
Ap12:9984264-9984680	Cluster_873	N	0	1	47
Ap12:10031689-10032093	Cluster_874	N	6	5	11
Ap12:10097556-10097971	Cluster_875	N	3	1	30
Ap12:10267313-10267729	Cluster_876	N	10	12	0
Ap12:10303335-10303751	Cluster_877	N	17	48	48
Ap12:10701003-10701419	Cluster_878	N	5	10	9
Ap12:11032731-11033146	Cluster_879	N	3	50	136
Ap12:11066409-11066827	Cluster_880	N	15	63	48
Ap12:11093745-11094160	Cluster_881	N	0	35	219
Ap12:11218846-11219263	Cluster_882	N	32	24	46
Ap12:11324856-11325337	Cluster_883	N	446	62	31
Ap12:11327480-11327909	Cluster_884	N	44	3	4
Ap12:11341754-11342231	Cluster_885	N	129	27	22
Ap12:11344877-11345306	Cluster_886	N	42	4	1
Ap12:11345724-11346199	Cluster_887	N	65	4	13
Ap12:11349807-11350283	Cluster_888	N	79	9	10
Ap12:11350443-11350878	Cluster_889	N	32	15	12
Ap12:11363059-11363474	Cluster_890	N	4	34	37
Ap12:11407041-11407453	Cluster_891	N	0	4	16
Ap12:11526436-11526853	Cluster_892	N	53	2	2
Ap12:11713139-11713555	Cluster_893	N	0	1	35
Ap12:12352217-12352632	Cluster_894	N	4	12	6
Ap12:12586974-12587390	Cluster_895	N	1	0	66
Ap12:12696226-12696642	Cluster_896	N	2	28	28
Ap12:13022153-13022562	Cluster_897	N	1	7	11
Ap12:13245958-13246374	Cluster_898	N	97	182	113
Ap12:13312589-13313000	Cluster_899	N	2	12	14
Ap12:13321148-13321563	Cluster_900	N	6	8	17
Ap12:13454953-13455371	Cluster_901	N	3	28	18
Ap12:13491191-13491608	Cluster_902	N	4	52	56
Ap12:13531495-13531914	Cluster_903	N	6	23	21
Ap12:13653528-13653943	Cluster_904	N	72	0	9
Ap12:13669114-13669530	Cluster_905	N	30	0	5
Ap12:13785568-13786141	Cluster_906	N	43	7	12
Ap12:14099164-14099583	Cluster_907	N	74	20	13
Ap12:14129247-14129660	Cluster_908	N	2	1	44
Ap12:14182188-14182600	Cluster_909	N	0	2	59
Ap12:14361261-14361830	Cluster_910	N	96	31	28
Ap12:14489091-14489658	Cluster_911	N	111	313	191
Ap12:14525460-14525878	Cluster_912	N	124	7	7
Ap12:14605296-14605711	Cluster_913	N	1	0	21
Ap12:14634490-14634907	Cluster_914	N	81	54	41
Ap12:14654385-14654802	Cluster_915	N	0	22	3
Ap12:14757255-14757668	Cluster_916	N	38	3	228
Ap12:14775529-14775946	Cluster_917	N	20	13	25
Ap12:14927535-14927950	Cluster_918	N	15	2	8
Ap12:14975823-14976229	Cluster_919	N	21	0	1
Ap12:15036146-15036562	Cluster_920	N	21	4	17
Ap12:15073420-15073833	Cluster_921	N	2	3	30
Ap12:15085492-15085911	Cluster_922	N	131	14	7
Ap12:15106055-15106468	Cluster_923	N	0	5	76
Ap12:15370523-15370935	Cluster_924	N	0	2	20
Ap12:15454913-15455325	Cluster_925	N	0	0	26
Ap12:15494765-15495182	Cluster_926	N	22	0	18
Ap12:15602218-15602637	Cluster_927	N	130	15	8
Ap12:15641613-15642028	Cluster_928	N	1	15	39
Ap12:16001317-16001733	Cluster_929	N	2	8	13
Ap12:16270894-16271307	Cluster_930	N	1	23	44
Ap12:16584156-16584573	Cluster_931	N	3	11	24
Ap12:16608254-16608728	Cluster_932	N	401	40	29
Ap12:16639932-16640348	Cluster_933	N	27	191	167
Ap12:16698433-16698847	Cluster_934	N	0	15	17
Ap12:16736558-16737007	Cluster_935	N	18	43	23
Ap12:16965070-16965488	Cluster_936	N	1256	1306	851
Ap12:17054275-17054692	Cluster_937	N	56	585	856
Ap12:17314840-17315256	Cluster_938	N	6	1	19
Ap12:17436039-17436460	Cluster_939	N	52	15	35
Ap12:17439681-17440099	Cluster_940	N	14	5	3
Ap12:17776826-17777241	Cluster_941	N	2	4	14
Ap12:17887685-17888102	Cluster_942	N	15	1	8
Ap12:17924238-17924655	Cluster_943	N	35	126	90
Ap12:18054202-18054611	Cluster_944	N	0	6	14
Ap12:18133615-18134100	Cluster_945	N	135	51	72
Ap12:18212795-18213213	Cluster_946	N	40	159	295
Ap12:18214720-18215145	Cluster_947	N	204	0	0
Ap12:18510479-18510895	Cluster_948	N	1	17	21
Ap12:18566249-18566665	Cluster_949	N	0	13	55
Ap12:18589855-18590268	Cluster_950	N	3	18	6
Ap12:18798793-18799207	Cluster_951	N	2	17	70
Ap12:18851359-18851774	Cluster_952	N	12	151	66
Ap12:19508987-19509406	Cluster_953	N	13	80	69
Ap12:19526026-19526443	Cluster_954	N	15	31	13
Ap12:19709121-19709536	Cluster_955	N	5	9	7
Ap12:20259934-20260348	Cluster_956	N	0	4	15
Ap12:20631534-20631947	Cluster_957	N	0	0	23
Ap12:20710309-20710737	Cluster_958	N	21	8	2
Ap12:20912475-20912962	Cluster_959	N	1384	317	280
Ap12:21130221-21130634	Cluster_960	N	0	1	38
Ap12:21930025-21930438	Cluster_961	N	0	0	72
Ap12:22400409-22400825	Cluster_962	N	0	0	80
Ap12:22594830-22595243	Cluster_963	N	0	29	89
Ap12:22675118-22675536	Cluster_964	N	117	69	55
Ap12:22986161-22986577	Cluster_965	N	2	41	46
Ap12:22996374-22996790	Cluster_966	N	11	157	68
Ap12:22997778-22998184	Cluster_967	N	2	0	17
Ap12:23134922-23135333	Cluster_968	N	1	0	30
Ap12:23153848-23154257	Cluster_969	N	0	17	2
Ap12:23157628-23158043	Cluster_970	N	0	1	20
Ap12:23479603-23480017	Cluster_971	N	6	12	19
Ap12:23534525-23534943	Cluster_972	N	15	62	48
Ap12:23938758-23939173	Cluster_973	N	2	12	31
Ap12:24250894-24251309	Cluster_974	N	0	0	24
Ap12:24263657-24264069	Cluster_975	N	0	2	27
Ap12:24420698-24421115	Cluster_976	N	2	21	18
Ap12:24440455-24440876	Cluster_977	N	13	26	27
Ap12:25163669-25164083	Cluster_978	N	0	66	28
Ap12:25242764-25243179	Cluster_979	N	4	8	10
Ap12:25473907-25474323	Cluster_980	N	12	5	14
Ap12:25571438-25571854	Cluster_981	N	52	147	100
Ap12:25624795-25625209	Cluster_982	N	0	0	41
Ap12:25857006-25857420	Cluster_983	N	0	38	146
Ap12:25864681-25865095	Cluster_984	N	1	0	25
Ap12:25901604-25902062	Cluster_985	N	30	11	7
Ap12:26031035-26031446	Cluster_986	N	0	15	23
Ap12:26483205-26483620	Cluster_987	N	10	29	39
Ap12:26871693-26872263	Cluster_988	N	193	68	128
Ap12:26956204-26956619	Cluster_989	N	0	0	23
Ap12:27198711-27199127	Cluster_990	N	1	7	18
Ap12:27230903-27231314	Cluster_991	N	1	17	25
Ap12:27326100-27326514	Cluster_992	N	1	12	25
