Coords	Name	MIRNA	ahya_1_S27_L001_R1_001_trim_condensed	ahya_2_S28_L001_R1_001_trim_condensed	ahya_3_S29_L001_R1_001_trim_condensed	ahya_4_S30_L001_R1_001_trim_condensed
chr1:26315002-26315431	Cluster_1296	N	8	3	30	0
chr1:26315860-26316288	Cluster_1297	N	26	2	40	0
chr1:26350738-26351155	Cluster_1298	N	40	45	196	101
chr1:26399253-26399680	Cluster_1299	N	9	2	21	13
chr1:26401001-26401429	Cluster_1300	N	6	0	19	6
chr1:26436509-26436927	Cluster_1301	N	10	5	13	8
chr1:26570796-26571224	Cluster_1302	N	6	0	12	4
chr1:26616819-26617248	Cluster_1303	N	0	87	221	8
chr1:26970838-26971256	Cluster_1304	N	1	4	44	0
chr1:26995412-26995832	Cluster_1305	N	27	0	0	1
chr1:27036811-27037238	Cluster_1306	N	1	0	2	20
chr1:27220049-27220476	Cluster_1307	N	24	4	16	24
chr1:27329088-27329664	Cluster_1308	N	51	13	58	28
chr1:27386017-27386445	Cluster_1309	N	5	2	132	1
chr1:27433642-27434069	Cluster_1310	N	1	0	9	15
chr1:27479431-27479860	Cluster_1311	N	1	0	53	2
chr1:27521168-27521586	Cluster_1312	N	0	0	142	6
chr1:27542295-27542711	Cluster_1313	N	9	13	84	16
chr1:27678219-27678642	Cluster_1314	N	24	0	0	13
chr1:27684831-27685247	Cluster_1315	N	28	2	15	7
chr1:27767795-27768209	Cluster_1316	N	0	0	24	0
chr1:28004720-28005133	Cluster_1317	N	0	0	16	4
chr1:28037118-28037545	Cluster_1318	N	18	1	0	0
chr1:28038000-28038427	Cluster_1319	N	0	1	0	103
chr1:28050700-28051121	Cluster_1320	N	204	8	46	53
chr1:28089167-28089597	Cluster_1321	N	59	7	12	29
chr1:28119661-28120074	Cluster_1322	N	0	1	20	4
chr1:28166318-28166731	Cluster_1323	N	4	14	0	5
chr1:28202765-28203180	Cluster_1324	N	5	2	3	22
chr1:28217946-28218411	Cluster_1325	N	1	0	1019	0
chr1:28244115-28244590	Cluster_1326	N	519	0	281	359
chr1:28318794-28319206	Cluster_1327	N	3	12	13	0
chr1:28403570-28403997	Cluster_1328	N	19	0	19	1
chr1:28438269-28438686	Cluster_1329	N	2	30	6	8
chr1:28439242-28439698	Cluster_1330	N	3	0	56	7
chr1:28513401-28514066	Cluster_1331	N	66	233	168	30
chr1:28560455-28560878	Cluster_1332	N	179	29	67	55
chr1:28584263-28584689	Cluster_1333	N	1	2	3	48
chr1:28622681-28623100	Cluster_1334	N	51	0	3	1
chr1:28660885-28661308	Cluster_1335	N	3	1	0	21
chr1:28703616-28704180	Cluster_1336	N	1	2	0	67
chr1:28832291-28832697	Cluster_1337	N	18	0	27	7
chr1:28832795-28833232	Cluster_1338	N	23	1	7	25
chr1:28833808-28834236	Cluster_1339	N	34	1	1	5
chr1:28840424-28840892	Cluster_1340	N	770	0	0	0
chr1:28856485-28856899	Cluster_1341	N	3	19	4	13
chr1:28935341-28935757	Cluster_1342	N	8	32	10	1
chr1:28987731-28988160	Cluster_1343	N	135	6	1	2
chr1:28988830-28989258	Cluster_1344	N	12	7	25	45
chr1:28993735-28994328	Cluster_1345	N	59	0	89	20
chr1:28995213-28995670	Cluster_1346	N	2415	302	835	221
chr1:29073978-29074451	Cluster_1347	N	1794	804	2814	3121
chr1:29177454-29177881	Cluster_1348	N	5	1	15	0
chr1:29250205-29250620	Cluster_1349	N	7	13	18	5
chr1:29299724-29300140	Cluster_1350	N	5	38	365	3
chr1:29317430-29317855	Cluster_1351	N	4	1	22	9
chr1:29443392-29443807	Cluster_1352	N	19	1	0	0
chr1:29467421-29467837	Cluster_1353	N	47	21	2	0
chr1:29479079-29479495	Cluster_1354	N	6	17	4	3
chr1:29546977-29547403	Cluster_1355	N	18	0	27	1
chr1:29583394-29583817	Cluster_1356	N	3915	1269	7149	2350
chr1:29587459-29587875	Cluster_1357	N	2	3	18	16
chr1:29634483-29634912	Cluster_1358	N	1728	282	1722	1509
chr1:30020658-30021086	Cluster_1359	N	19	1	0	19
chr1:30021404-30021820	Cluster_1360	N	19	1	5	1
chr1:30022854-30023643	Cluster_1361	N	213	5	5	4
chr1:30096457-30096874	Cluster_1362	N	4	12	28	81
chr1:30166741-30167156	Cluster_1363	N	0	5	3	211
chr1:30211658-30212072	Cluster_1364	N	1	21	3	1
chr1:30298938-30299361	Cluster_1365	N	25	9	36	25
chr1:30344477-30344892	Cluster_1366	N	4	14	1	5
chr1:30345173-30345721	Cluster_1367	N	3	5	22	47
chr1:30385478-30385918	Cluster_1368	N	0	0	0	153
chr1:30385965-30386405	Cluster_1369	N	0	0	0	154
chr1:30399137-30399556	Cluster_1370	N	13	19	32	13
chr1:30416514-30416928	Cluster_1371	N	1	12	1	13
chr1:30418202-30418622	Cluster_1372	N	1	7	2	19
chr1:30596721-30597140	Cluster_1373	N	25	0	0	0
chr1:30598627-30599028	Cluster_1374	N	7	4	23	15
chr1:30599103-30599536	Cluster_1375	N	11	0	25	15
chr1:30688447-30689112	Cluster_1376	N	17	4	42	16
chr1:30736200-30736616	Cluster_1377	N	0	148	8	4
chr1:30742399-30742817	Cluster_1378	N	3	0	23	38
chr1:30754486-30754913	Cluster_1379	N	0	0	2	22
chr1:30772019-30772569	Cluster_1380	N	31	8	57	7
chr1:30779638-30780067	Cluster_1381	N	0	0	1	50
chr1:30793363-30793813	Cluster_1382	N	74	0	28	25
chr1:30793935-30794358	Cluster_1383	N	22	4	6	42
chr1:30840504-30840941	Cluster_1384	N	28	1	37	14
chr1:30898428-30898858	Cluster_1385	N	17	10	9	19
chr1:30915442-30915857	Cluster_1386	N	5	33	0	0
chr1:31105930-31106346	Cluster_1387	N	3	2	20	6
chr1:31178861-31179310	Cluster_1388	N	15	30	22	1
chr1:31188969-31189395	Cluster_1389	N	18	0	1	4
chr1:31241483-31241884	Cluster_1390	N	0	1	8	11
chr1:31252272-31252693	Cluster_1391	N	31	2	0	0
chr1:31289623-31290053	Cluster_1392	N	51	11	104	31
chr1:31295234-31295663	Cluster_1393	N	29	0	21	8
chr1:31297325-31297755	Cluster_1394	N	118	20	42	6
chr1:31298205-31298635	Cluster_1395	N	95	48	166	7
chr1:31556811-31557227	Cluster_1396	N	9	14	0	4
chr1:31578358-31579154	Cluster_1397	N	20	2	29	23
chr1:31618286-31618746	Cluster_1398	N	43	28	125	157
chr1:31635017-31635444	Cluster_1399	N	26	0	5	16
chr1:31703731-31704147	Cluster_1400	N	0	18	3	7
chr1:31760551-31760964	Cluster_1401	N	2	10	5	4
chr1:31779365-31779782	Cluster_1402	N	0	0	20	4
chr1:31842194-31842611	Cluster_1403	N	0	13	4	15
chr1:31855326-31855743	Cluster_1404	N	72	4	3	6
chr1:32065236-32065657	Cluster_1405	N	22	0	0	2
chr1:32075534-32075956	Cluster_1406	N	44	0	12	41
chr1:32082951-32083367	Cluster_1407	N	17	25	6	12
chr1:32115091-32115566	Cluster_1408	N	24	8	25	65
chr1:32146982-32147408	Cluster_1409	N	52	9	149	4
chr1:32152973-32153386	Cluster_1410	N	7	13	0	3
chr1:32161867-32162281	Cluster_1411	N	0	16	9	0
chr1:32230784-32231198	Cluster_1412	N	32	1	1	14
chr1:32269704-32270131	Cluster_1413	N	3	0	20	4
chr1:32270474-32270900	Cluster_1414	N	8	1	14	4
chr1:32318667-32319093	Cluster_1415	N	1	0	1	21
chr1:32405426-32405902	Cluster_1416	N	1	0	62	21
chr1:32412144-32412572	Cluster_1417	N	0	0	23	20
chr1:32429288-32429705	Cluster_1418	N	3	24	0	5
chr1:32431367-32431797	Cluster_1419	N	1	0	3	60
chr1:32433115-32433550	Cluster_1420	N	6	0	22	20
chr1:32437998-32438415	Cluster_1421	N	5	17	98	197
chr1:32469140-32469749	Cluster_1422	N	3479	2405	9588	22365
chr1:32480485-32480904	Cluster_1423	N	17	55	8	8
chr1:32492912-32493312	Cluster_1424	N	11	0	8	3
chr1:32497879-32498296	Cluster_1425	N	6	61	6	10
chr1:32503876-32504299	Cluster_1426	N	10	0	7	2
chr1:32535838-32536266	Cluster_1427	N	17	0	7	12
chr1:32536435-32536852	Cluster_1428	N	1	41	2	1
chr1:32536879-32537308	Cluster_1429	N	20	12	6	5
chr1:32556024-32556441	Cluster_1430	N	1	6	4	14
chr1:32576248-32576661	Cluster_1431	N	2	27	4	1
chr1:32600662-32601077	Cluster_1432	N	19	1	8	0
chr1:32613823-32614656	Cluster_1433	N	74	15	45	42
chr1:32731882-32732308	Cluster_1434	N	49	4	0	1
chr1:32771485-32771932	Cluster_1435	N	26	10	5	10
chr1:32778527-32778940	Cluster_1436	N	25	0	7	3
chr1:32784004-32784428	Cluster_1437	N	12	3	15	3
chr1:32817518-32817936	Cluster_1438	N	2	0	2	42
chr1:32823254-32823663	Cluster_1439	N	1	1	0	19
chr1:32826696-32827114	Cluster_1440	N	9	0	11	6
chr1:32946416-32946860	Cluster_1441	N	381	23	250	57
chr1:32957417-32957833	Cluster_1442	N	2	0	29	1
chr1:32958330-32958753	Cluster_1443	N	7	0	19	10
chr1:32959070-32959498	Cluster_1444	N	1	1	7	71
chr1:33013412-33013824	Cluster_1445	N	6	15	0	6
chr1:33110288-33110715	Cluster_1446	N	16	0	12	10
chr1:33120012-33120429	Cluster_1447	N	0	0	2	37
chr1:33130021-33130853	Cluster_1448	N	47	5	28	11
chr1:33132391-33132809	Cluster_1449	N	19	0	6	7
chr1:33133835-33134679	Cluster_1450	N	59	15	35	1
chr1:33216123-33216552	Cluster_1451	N	16	0	12	4
chr1:33231388-33231817	Cluster_1452	N	73	2	0	0
chr1:33242869-33243298	Cluster_1453	N	302	2	4	12
chr1:33299413-33299862	Cluster_1454	N	15	10	12	50
chr1:33351397-33351840	Cluster_1455	N	659	21	9	0
chr1:33393604-33394031	Cluster_1456	N	31	6	2	26
chr1:33493617-33494034	Cluster_1457	N	24	0	33	1
chr1:33498199-33498620	Cluster_1458	N	12	41	14	12
chr1:33540301-33540729	Cluster_1459	N	73	2	0	17
chr1:33572162-33572571	Cluster_1460	N	44	0	0	2
chr1:33593371-33593796	Cluster_1461	N	10	0	13	0
chr1:33609108-33609524	Cluster_1462	N	0	0	34	1
chr1:33684562-33684989	Cluster_1463	N	16	0	13	8
chr1:33703475-33703902	Cluster_1464	N	35	1	1	0
chr1:33722996-33723424	Cluster_1465	N	0	0	43	1
chr1:33729715-33730130	Cluster_1466	N	0	7	75	265
chr1:33739527-33739955	Cluster_1467	N	11	8	6	16
chr1:33742571-33743000	Cluster_1468	N	40	0	26	4
chr1:33754948-33755365	Cluster_1469	N	41	124	72	54
chr1:33865905-33866328	Cluster_1470	N	12	1	12	97
chr1:33871602-33872016	Cluster_1471	N	4	3	8	8
chr1:33872090-33872510	Cluster_1472	N	7	23	68	18
chr1:33944987-33945407	Cluster_1473	N	24	5	8	15
chr1:33946698-33947126	Cluster_1474	N	37	7	0	35
chr1:33977495-33977907	Cluster_1475	N	9	0	1	14
chr1:34042066-34042568	Cluster_1476	N	46	0	11	8
chr1:34049207-34049635	Cluster_1477	N	27	1	0	22
chr1:34066995-34067409	Cluster_1478	N	3	36	12	0
chr1:34105575-34106005	Cluster_1479	N	112	7	188	13
chr1:34111324-34111835	Cluster_1480	N	16	3	59	10
chr1:34146961-34147376	Cluster_1481	N	2	15	14	0
chr1:34216364-34216779	Cluster_1482	N	3	19	1	9
chr1:34228514-34228941	Cluster_1483	N	1	0	0	78
chr1:34285427-34285850	Cluster_1484	N	7	4	12	11
chr1:34286025-34286454	Cluster_1485	N	7	0	55	9
chr1:34288121-34288967	Cluster_1486	N	168	26	118	43
chr1:34289025-34289453	Cluster_1487	N	51	26	16	11
chr1:34290114-34290667	Cluster_1488	N	122	14	88	43
chr1:34293619-34294046	Cluster_1489	N	11	9	9	8
chr1:34294181-34295999	Cluster_1490	N	423	97	78	581
chr2:349-989	Cluster_1491	N	79	9	62	279
chr2:1307-3146	Cluster_1492	N	1444	1109	461	1531
chr2:3678-4553	Cluster_1493	N	156	149	64	202
chr2:5298-5727	Cluster_1494	N	11	12	7	24
chr2:6830-7255	Cluster_1495	N	8	11	4	11
chr2:7327-7755	Cluster_1496	N	9	19	4	22
chr2:12390-12809	Cluster_1497	N	3	7	2	25
chr2:13045-13473	Cluster_1498	N	3	0	13	26
chr2:15732-16159	Cluster_1499	N	11	4	14	37
chr2:39489-39916	Cluster_1500	N	26	0	2	0
chr2:137339-137753	Cluster_1501	N	26	11	1	0
chr2:146581-147011	Cluster_1502	N	29	0	0	36
chr2:148871-149300	Cluster_1503	N	3	0	31	0
chr2:156386-156800	Cluster_1504	N	28	0	11	0
chr2:177018-177447	Cluster_1505	N	0	0	1	43
chr2:187201-187672	Cluster_1506	N	28	0	50	18
chr2:196021-196449	Cluster_1507	N	9	0	9	4
chr2:209467-209882	Cluster_1508	N	1	13	4	7
chr2:236984-237412	Cluster_1509	N	16	0	31	33
chr2:253761-254195	Cluster_1510	N	12	0	32	6
chr2:254312-254727	Cluster_1511	N	0	4	11	10
chr2:275817-276246	Cluster_1512	N	0	0	30	3
chr2:328152-328574	Cluster_1513	N	19	3	0	3
chr2:397603-398010	Cluster_1514	N	1	11	8	1
chr2:411213-411643	Cluster_1515	N	10	4	21	10
chr2:508651-509151	Cluster_1516	N	21	101	23	18
chr2:554741-554835	Cluster_1517	Y	126	0	0	62
chr2:555037-555131	Cluster_1518	Y	36	15	136	91
chr2:568279-568707	Cluster_1519	N	14	3	16	1
chr2:656933-657370	Cluster_1520	N	23	8	68	12
chr2:658703-659138	Cluster_1521	N	1	0	51	26
chr2:661068-661535	Cluster_1522	N	0	0	37	32
chr2:666225-666640	Cluster_1523	N	1	1	11	15
chr2:699753-700173	Cluster_1524	N	0	26	6	0
chr2:700329-700807	Cluster_1525	N	85	439	59	56
chr2:762635-763050	Cluster_1526	N	0	18	1	5
chr2:773749-774341	Cluster_1527	N	9	2	83	181
chr2:777266-777689	Cluster_1528	N	5	2	8	18
chr2:784667-785096	Cluster_1529	N	44	4	80	57
chr2:832599-833017	Cluster_1530	N	24	0	11	3
chr2:834143-834574	Cluster_1531	N	50	28	140	79
chr2:842364-842777	Cluster_1532	N	1	12	1	6
chr2:849749-850176	Cluster_1533	N	2	0	29	8
chr2:933850-934271	Cluster_1534	N	35	211	57	21
chr2:991752-992167	Cluster_1535	N	12	0	13	18
chr2:1010418-1010833	Cluster_1536	N	1	12	12	13
chr2:1047633-1048097	Cluster_1537	N	25	19	15	18
chr2:1079667-1080084	Cluster_1538	N	15	3	0	4
chr2:1088646-1089063	Cluster_1539	N	39	0	1	0
chr2:1093912-1094341	Cluster_1540	N	31	0	1	0
chr2:1094502-1095321	Cluster_1541	N	175	2	50	7
chr2:1095817-1096340	Cluster_1542	N	88	4	18	7
chr2:1096920-1097351	Cluster_1543	N	167	5	0	0
chr2:1097916-1098439	Cluster_1544	N	97	5	18	10
chr2:1099065-1099504	Cluster_1545	N	69	0	21	1
chr2:1100012-1100518	Cluster_1546	N	60	2	14	4
chr2:1101528-1101956	Cluster_1547	N	11	0	9	19
chr2:1157999-1158436	Cluster_1548	N	1	2	73	11
chr2:1161796-1162211	Cluster_1549	N	1	28	2	1
chr2:1209303-1209740	Cluster_1550	N	39	66	84	187
chr2:1252038-1252452	Cluster_1551	N	13	89	0	1
chr2:1264829-1265247	Cluster_1552	N	3	3	4	26
chr2:1283093-1283511	Cluster_1553	N	14	15	69	64
chr2:1508589-1509004	Cluster_1554	N	1	93	9	26
chr2:1545474-1545892	Cluster_1555	N	0	33	0	1
chr2:1579569-1579985	Cluster_1556	N	1	33	5	4
chr2:1598285-1598700	Cluster_1557	N	1	16	9	0
chr2:1604229-1604644	Cluster_1558	N	8	0	20	7
chr2:1606800-1607229	Cluster_1559	N	37	5	65	55
chr2:1631657-1632086	Cluster_1560	N	49	11	281	11
chr2:1664014-1664440	Cluster_1561	N	2	0	39	1
chr2:1726354-1726763	Cluster_1562	N	0	3	5	12
chr2:1945357-1945771	Cluster_1563	N	9	11	0	1
chr2:1986816-1987230	Cluster_1564	N	0	43	9	0
chr2:1989656-1990072	Cluster_1565	N	18	35	5	6
chr2:2075382-2075810	Cluster_1566	N	23	0	6	13
chr2:2096652-2097068	Cluster_1567	N	2	11	3	5
chr2:2112377-2112807	Cluster_1568	N	32	6	9	7
chr2:2250170-2250599	Cluster_1569	N	9	2	39	52
chr2:2282398-2282827	Cluster_1570	N	75	9	4	2
chr2:2350556-2350984	Cluster_1571	N	15	0	10	6
chr2:2353274-2353703	Cluster_1572	N	296	1	8	1
chr2:2414762-2415178	Cluster_1573	N	0	1	13	32
chr2:2420529-2420957	Cluster_1574	N	45	0	1	10
chr2:2430271-2430698	Cluster_1575	N	0	0	21	3
chr2:2434562-2434985	Cluster_1576	N	18	64	202	30
chr2:2443968-2444384	Cluster_1577	N	60	75	272	207
chr2:2458862-2459282	Cluster_1578	N	36	74	78	71
chr2:2462553-2462974	Cluster_1579	N	33	1	0	0
chr2:2486705-2487121	Cluster_1580	N	2	7	18	13
chr2:2515252-2515670	Cluster_1581	N	0	0	17	3
chr2:2536486-2536915	Cluster_1582	N	25	0	3	160
chr2:2551705-2552285	Cluster_1583	N	1	4	138	5
chr2:2588762-2589179	Cluster_1584	N	37	118	31	27
chr2:2617672-2618087	Cluster_1585	N	10	3	27	40
chr2:2624830-2625259	Cluster_1586	N	13	0	10	4
chr2:2654985-2655392	Cluster_1587	N	3	0	18	8
chr2:2747373-2747801	Cluster_1588	N	16	0	36	12
chr2:2757513-2757927	Cluster_1589	N	0	41	0	0
chr2:2808971-2809398	Cluster_1590	N	0	0	43	13
chr2:2839593-2840013	Cluster_1591	N	10	1	4	24
chr2:2840625-2841053	Cluster_1592	N	19	2	10	20
chr2:2862973-2863390	Cluster_1593	N	3	21	4	7
chr2:2978875-2979431	Cluster_1594	N	3	0	128	72
chr2:2997474-2997881	Cluster_1595	N	0	0	14	6
chr2:3024541-3024945	Cluster_1596	N	6	1	1	20
chr2:3040352-3040768	Cluster_1597	N	8	14	2	5
chr2:3055861-3056289	Cluster_1598	N	1366	15	2	2
chr2:3122202-3122619	Cluster_1599	N	0	30	5	0
chr2:3160254-3160682	Cluster_1600	N	2	7	29	39
chr2:3189784-3190197	Cluster_1601	N	6	12	1	0
chr2:3196833-3197237	Cluster_1602	N	11	4	5	1
chr2:3209083-3209510	Cluster_1603	N	37	1	10	42
chr2:3212274-3212688	Cluster_1604	N	4	28	5	1
chr2:3223522-3223950	Cluster_1605	N	21	0	4	2
chr2:3237519-3237924	Cluster_1606	N	0	2	0	17
chr2:3293374-3293789	Cluster_1607	N	8	9	8	1
chr2:3309072-3309490	Cluster_1608	N	4	1	17	0
chr2:3344063-3344482	Cluster_1609	N	24	29	56	85
chr2:3419679-3420095	Cluster_1610	N	6	24	5	6
chr2:3450437-3450856	Cluster_1611	N	0	0	2	21
chr2:3617075-3617522	Cluster_1612	N	40	13	3	5
chr2:3617730-3618345	Cluster_1613	N	5	0	38	8
chr2:3623900-3624314	Cluster_1614	N	7	11	7	2
chr2:3634445-3634860	Cluster_1615	N	11	30	5	5
chr2:3707034-3707462	Cluster_1616	N	17	1	2	9
chr2:3888615-3889090	Cluster_1617	N	164	93	225	212
chr2:3950163-3950640	Cluster_1618	N	146	36	176	252
chr2:3952259-3952676	Cluster_1619	N	5	36	4	4
chr2:3962694-3963110	Cluster_1620	N	8	28	11	6
chr2:3976296-3976711	Cluster_1621	N	1	1	20	8
chr2:4018164-4018659	Cluster_1622	N	28	0	38	35
chr2:4020658-4021085	Cluster_1623	N	24	5	5	11
chr2:4072079-4072513	Cluster_1624	N	9	0	37	31
chr2:4225164-4225580	Cluster_1625	N	7	12	44	22
chr2:4279936-4280352	Cluster_1626	N	15	91	34	3
chr2:4342110-4342525	Cluster_1627	N	1	42	7	3
chr2:4447599-4448027	Cluster_1628	N	19	1	5	1
chr2:4455308-4455748	Cluster_1629	N	2	7	29	25
chr2:4538134-4538549	Cluster_1630	N	17	11	56	129
chr2:4575965-4576393	Cluster_1631	N	10	20	6	4
chr2:4681604-4682020	Cluster_1632	N	11	44	12	7
chr2:4689395-4689829	Cluster_1633	N	82	1	20	37
chr2:4704670-4705086	Cluster_1634	N	0	0	16	13
chr2:4747739-4748152	Cluster_1635	N	1	12	6	1
chr2:4786785-4787198	Cluster_1636	N	1	0	16	19
chr2:4787831-4788247	Cluster_1637	N	0	2	98	0
chr2:4829004-4829431	Cluster_1638	N	5	6	34	0
chr2:4892340-4892758	Cluster_1639	N	4	1	38	15
chr2:4949376-4949805	Cluster_1640	N	20	14	2	3
chr2:4989644-4990066	Cluster_1641	N	32	5	15	9
chr2:5011382-5011798	Cluster_1642	N	3	15	12	12
chr2:5016010-5016424	Cluster_1643	N	1	12	3	8
chr2:5074817-5075272	Cluster_1644	N	225	0	92	34
chr2:5084149-5084566	Cluster_1645	N	1	1	16	7
chr2:5111176-5111655	Cluster_1646	N	1	5	6	57
chr2:5145611-5146027	Cluster_1647	N	5	29	6	21
chr2:5149674-5150094	Cluster_1648	N	299	1	4	0
chr2:5254932-5255573	Cluster_1649	N	267	23	205	300
chr2:5294362-5294783	Cluster_1650	N	31	2	0	0
chr2:5350575-5350991	Cluster_1651	N	5	31	1	5
chr2:5357105-5357532	Cluster_1652	N	17	3	7	8
chr2:5441037-5441465	Cluster_1653	N	5	0	13	11
chr2:5509834-5510247	Cluster_1654	N	3	16	3	2
chr2:5550017-5550430	Cluster_1655	N	6	18	5	1
chr2:5578390-5578805	Cluster_1656	N	3	18	4	4
chr2:5611110-5611524	Cluster_1657	N	7	44	0	4
chr2:5652979-5653408	Cluster_1658	N	14	0	51	0
chr2:5653871-5654299	Cluster_1659	N	5	0	29	0
chr2:5661023-5661452	Cluster_1660	N	0	6	51	19
chr2:5685569-5685985	Cluster_1661	N	1	14	13	33
chr2:5734737-5735159	Cluster_1662	N	0	1	1	35
chr2:5743826-5744251	Cluster_1663	N	3	0	18	1
chr2:5781195-5781623	Cluster_1664	N	52	1	4	1
chr2:5801251-5801680	Cluster_1665	N	282	98	152	77
chr2:5864654-5865069	Cluster_1666	N	21	0	0	2
chr2:5873740-5874163	Cluster_1667	N	8	3	11	8
chr2:5875134-5875707	Cluster_1668	N	11	9	81	9
chr2:5906442-5906875	Cluster_1669	N	24	4	7	8
chr2:5920068-5920485	Cluster_1670	N	4	1	35	0
chr2:5922158-5922580	Cluster_1671	N	0	0	0	45
chr2:5951880-5952303	Cluster_1672	N	24	0	7	17
chr2:5992696-5993109	Cluster_1673	N	0	0	11	20
chr2:5994778-5995198	Cluster_1674	N	0	0	35	0
chr2:6017112-6017533	Cluster_1675	N	9	0	17	54
chr2:6155951-6156379	Cluster_1676	N	10	1	12	0
chr2:6187715-6188130	Cluster_1677	N	0	17	2	0
chr2:6222670-6223087	Cluster_1678	N	1	33	22	13
chr2:6312595-6313015	Cluster_1679	N	7	77	23	9
chr2:6325186-6325598	Cluster_1680	N	0	17	1	1
chr2:6385536-6385957	Cluster_1681	N	16	7	4	0
chr2:6437163-6437580	Cluster_1682	N	14	2	20	20
chr2:6473282-6473710	Cluster_1683	N	91	0	12	12
chr2:6483982-6484413	Cluster_1684	N	5	6	781	20
chr2:6526772-6527280	Cluster_1685	N	34	4	23	25
chr2:6528604-6529024	Cluster_1686	N	0	2	4	24
chr2:6536226-6536654	Cluster_1687	N	8	0	17	19
chr2:6797414-6797830	Cluster_1688	N	5	1	7	34
chr2:6849181-6849608	Cluster_1689	N	39	14	3	4
chr2:6904852-6905278	Cluster_1690	N	0	3	3	20
chr2:6919282-6919697	Cluster_1691	N	1	22	0	2
chr2:6936349-6936779	Cluster_1692	N	1	0	35	12
chr2:6937762-6938192	Cluster_1693	N	0	4	45	5
chr2:6941743-6942172	Cluster_1694	N	0	1	289	8
chr2:6947813-6948241	Cluster_1695	N	7	0	0	20
chr2:6957314-6957732	Cluster_1696	N	0	1	16	7
chr2:6962718-6963147	Cluster_1697	N	1	2	27	6
chr2:7035938-7036367	Cluster_1698	N	7	3	63	45
chr2:7038145-7038572	Cluster_1699	N	1	2	17	3
chr2:7042496-7042914	Cluster_1700	N	14	6	40	2
chr2:7044181-7044638	Cluster_1701	N	15	4	84	31
chr2:7060084-7060564	Cluster_1702	N	48	1	1	12
chr2:7063749-7064163	Cluster_1703	N	0	21	0	6
chr2:7121970-7122390	Cluster_1704	N	0	0	0	36
chr2:7150880-7151297	Cluster_1705	N	36	29	29	27
chr2:7180252-7180678	Cluster_1706	N	40	1	2	1
chr2:7266291-7266737	Cluster_1707	N	7	0	0	53
chr2:7315079-7315495	Cluster_1708	N	0	0	2	31
chr2:7347834-7348267	Cluster_1709	N	5	1	26	51
chr2:7399785-7400200	Cluster_1710	N	6	33	6	0
chr2:7430184-7430604	Cluster_1711	N	26	0	0	0
chr2:7458789-7459226	Cluster_1712	N	15	5	10	32
chr2:7504277-7504779	Cluster_1713	N	1	0	81	100
chr2:7545971-7546387	Cluster_1714	N	4	0	32	18
chr2:7576618-7577035	Cluster_1715	N	2	0	138	0
chr2:7600221-7600673	Cluster_1716	N	24	7	16	28
chr2:7665750-7666166	Cluster_1717	N	3	18	2	2
chr2:7719256-7719662	Cluster_1718	N	0	0	0	34
chr2:7900499-7900914	Cluster_1719	N	1	19	6	17
chr2:7912880-7913298	Cluster_1720	N	2	14	6	7
chr2:7921756-7922186	Cluster_1721	N	0	0	20	40
chr2:7943437-7943866	Cluster_1722	N	141	3	0	0
chr2:7945843-7946258	Cluster_1723	N	3	8	47	2
chr2:7999521-7999951	Cluster_1724	N	229	16	187	105
chr2:8001666-8002081	Cluster_1725	N	0	63	2	0
chr2:8006270-8006694	Cluster_1726	N	19	0	2	0
chr2:8151981-8152396	Cluster_1727	N	0	5	80	5
chr2:8190752-8191179	Cluster_1728	N	13	2	27	14
chr2:8210855-8211270	Cluster_1729	N	6	15	19	16
chr2:8211527-8211943	Cluster_1730	N	0	87	8	2
chr2:8257708-8258117	Cluster_1731	N	10	1	15	7
chr2:8298687-8299109	Cluster_1732	N	24	3	17	2
chr2:8323409-8323829	Cluster_1733	N	16	3	0	1
chr2:8325387-8325800	Cluster_1734	N	1	15	2	3
chr2:8679857-8680277	Cluster_1735	N	6	34	12	13
chr2:8681599-8682014	Cluster_1736	N	2	17	2	0
chr2:8693632-8694047	Cluster_1737	N	0	19	11	5
chr2:8721134-8721586	Cluster_1738	N	3	0	63	2
chr2:8722561-8722989	Cluster_1739	N	31	8	12	25
chr2:8729981-8730407	Cluster_1740	N	0	0	40	2
chr2:8768483-8768901	Cluster_1741	N	43	0	3	1
chr2:8810700-8811121	Cluster_1742	N	21	2	0	0
chr2:8912103-8912504	Cluster_1743	N	2	15	0	5
chr2:8940077-8940493	Cluster_1744	N	7	9	5	7
chr2:8948790-8949199	Cluster_1745	N	30	0	1	6
chr2:9027438-9027865	Cluster_1746	N	2	1	37	5
chr2:9079460-9079875	Cluster_1747	N	1	5	43	45
chr2:9091655-9092069	Cluster_1748	N	0	1	19	3
chr2:9094357-9094786	Cluster_1749	N	0	0	44	16
chr2:9104281-9104696	Cluster_1750	N	0	0	5	16
chr2:9184494-9184923	Cluster_1751	N	30	0	7	31
chr2:9205236-9205650	Cluster_1752	N	3	37	6	2
chr2:9240321-9240739	Cluster_1753	N	41	1	1	1
chr2:9245249-9245665	Cluster_1754	N	1	4	23	12
chr2:9277653-9278080	Cluster_1755	N	5	1	11	77
chr2:9376419-9376833	Cluster_1756	N	1	19	0	1
chr2:9398481-9399900	Cluster_1757	N	397	69	945	114
chr2:9403349-9403776	Cluster_1758	N	41	5	8	3
chr2:9422506-9422924	Cluster_1759	N	3	31	1	11
chr2:9474305-9474735	Cluster_1760	N	22	2	2	0
